,variable,accuracy,simulation
0,0,0.29,0
1,1,0.25,0
2,2,0.34,0
3,3,0.24,0
4,4,0.28,0
5,5,0.27,0
6,6,0.27,0
7,0,0.32,1
8,1,0.26,1
9,2,0.26,1
10,3,0.26,1
11,4,0.29,1
12,5,0.29,1
13,6,0.33,1
14,7,0.32,1
15,0,0.31,2
16,1,0.34,2
17,2,0.18,2
18,3,0.35,2
19,4,0.28,2
20,5,0.27,2
21,6,0.38,2
22,7,0.39,2
23,0,0.31,3
24,1,0.33,3
25,2,0.26,3
26,3,0.34,3
27,4,0.22,3
28,5,0.35,3
29,0,0.15,4
30,1,0.36,4
31,2,0.19,4
32,3,0.2,4
33,4,0.25,4
34,5,0.33,4
35,6,0.37,4
36,0,0.24,5
37,1,0.35,5
38,2,0.29,5
39,3,0.33,5
40,4,0.38,5
41,5,0.21,5
42,7,0.34,5
43,0,0.28,6
44,1,0.26,6
45,2,0.3,6
46,3,0.29,6
47,4,0.25,6
48,5,0.33,6
49,6,0.25,6
50,7,0.23,6
51,0,0.33,7
52,1,0.32,7
53,2,0.34,7
54,3,0.41,7
55,4,0.3,7
56,5,0.37,7
57,6,0.26,7
58,0,0.38,8
59,1,0.34,8
60,2,0.28,8
61,3,0.3,8
62,4,0.27,8
63,5,0.3,8
64,6,0.27,8
65,0,0.33,9
66,1,0.36,9
67,2,0.33,9
68,3,0.28,9
69,4,0.39,9
70,5,0.23,9
