total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.2,0.4,3,3,0.9556
60,30,0.2,0.4,3,5,0.9722
60,30,0.2,0.4,3,7,0.9833
60,30,0.2,0.4,5,3,0.9467
60,30,0.2,0.4,5,5,0.95
60,30,0.2,0.4,5,7,0.9633
60,30,0.2,0.4,7,3,0.9357
60,30,0.2,0.4,7,5,0.9571
60,30,0.2,0.4,7,7,0.9571
60,30,0.2,0.6,3,3,0.9667
60,30,0.2,0.6,3,5,0.9556
60,30,0.2,0.6,3,7,0.9722
60,30,0.2,0.6,5,3,0.95
60,30,0.2,0.6,5,5,0.97
60,30,0.2,0.6,5,7,0.9667
60,30,0.2,0.6,7,3,0.9238
60,30,0.2,0.6,7,5,0.9619
60,30,0.2,0.6,7,7,0.9738
60,30,0.4,0.4,3,3,0.9444
60,30,0.4,0.4,3,5,0.9556
60,30,0.4,0.4,3,7,0.9556
60,30,0.4,0.4,5,3,0.9667
60,30,0.4,0.4,5,5,0.94
60,30,0.4,0.4,5,7,0.9867
60,30,0.4,0.4,7,3,0.9595
60,30,0.4,0.4,7,5,0.9476
60,30,0.4,0.4,7,7,0.9857
60,30,0.4,0.6,3,3,0.95
60,30,0.4,0.6,3,5,0.9556
60,30,0.4,0.6,3,7,0.9611
60,30,0.4,0.6,5,3,0.9433
60,30,0.4,0.6,5,5,0.9633
60,30,0.4,0.6,5,7,0.9733
60,30,0.4,0.6,7,3,0.95
60,30,0.4,0.6,7,5,0.9643
60,30,0.4,0.6,7,7,0.969
60,30,0.6,0.4,3,3,0.9056
60,30,0.6,0.4,3,5,0.9222
60,30,0.6,0.4,3,7,0.9444
60,30,0.6,0.4,5,3,0.9667
60,30,0.6,0.4,5,5,0.9433
60,30,0.6,0.4,5,7,0.9733
60,30,0.6,0.4,7,3,0.9595
60,30,0.6,0.4,7,5,0.9643
60,30,0.6,0.4,7,7,0.9619
60,30,0.6,0.6,3,3,0.9556
60,30,0.6,0.6,3,5,0.9333
60,30,0.6,0.6,3,7,0.9556
60,30,0.6,0.6,5,3,0.9333
60,30,0.6,0.6,5,5,0.9333
60,30,0.6,0.6,5,7,0.9533
60,30,0.6,0.6,7,3,0.9571
60,30,0.6,0.6,7,5,0.9571
60,30,0.6,0.6,7,7,0.9738
60,30,0.8,0.4,3,3,0.9389
60,30,0.8,0.4,3,5,0.9278
60,30,0.8,0.4,3,7,0.9278
60,30,0.8,0.4,5,3,0.9633
60,30,0.8,0.4,5,5,0.95
60,30,0.8,0.4,5,7,0.9567
60,30,0.8,0.4,7,3,0.9262
60,30,0.8,0.4,7,5,0.9476
60,30,0.8,0.4,7,7,0.9738
60,30,0.8,0.6,3,3,0.9611
60,30,0.8,0.6,3,5,0.9611
60,30,0.8,0.6,3,7,0.9778
60,30,0.8,0.6,5,3,0.9533
60,30,0.8,0.6,5,5,0.9333
60,30,0.8,0.6,5,7,0.94
60,30,0.8,0.6,7,3,0.9262
60,30,0.8,0.6,7,5,0.9595
60,30,0.8,0.6,7,7,0.9667
60,40,0.2,0.4,3,3,0.9444
60,40,0.2,0.4,3,5,0.9389
60,40,0.2,0.4,3,7,0.9722
60,40,0.2,0.4,5,3,0.9667
60,40,0.2,0.4,5,5,0.94
60,40,0.2,0.4,5,7,0.96
60,40,0.2,0.4,7,3,0.9714
60,40,0.2,0.4,7,5,0.9738
60,40,0.2,0.4,7,7,0.9786
60,40,0.2,0.6,3,3,0.9389
60,40,0.2,0.6,3,5,0.9611
60,40,0.2,0.6,3,7,0.9944
60,40,0.2,0.6,5,3,0.9633
60,40,0.2,0.6,5,5,0.9667
60,40,0.2,0.6,5,7,0.9733
60,40,0.2,0.6,7,3,0.9167
60,40,0.2,0.6,7,5,0.95
60,40,0.2,0.6,7,7,0.969
60,40,0.4,0.4,3,3,0.9167
60,40,0.4,0.4,3,5,0.9611
60,40,0.4,0.4,3,7,0.9667
60,40,0.4,0.4,5,3,0.9633
60,40,0.4,0.4,5,5,0.9733
60,40,0.4,0.4,5,7,0.9733
60,40,0.4,0.4,7,3,0.9119
60,40,0.4,0.4,7,5,0.9714
60,40,0.4,0.4,7,7,0.969
60,40,0.4,0.6,3,3,0.9333
60,40,0.4,0.6,3,5,0.95
60,40,0.4,0.6,3,7,0.9556
60,40,0.4,0.6,5,3,0.9467
60,40,0.4,0.6,5,5,0.9667
60,40,0.4,0.6,5,7,0.96
60,40,0.4,0.6,7,3,0.9476
60,40,0.4,0.6,7,5,0.9548
60,40,0.4,0.6,7,7,0.9833
60,40,0.6,0.4,3,3,0.9389
60,40,0.6,0.4,3,5,0.9556
60,40,0.6,0.4,3,7,0.9389
60,40,0.6,0.4,5,3,0.9533
60,40,0.6,0.4,5,5,0.97
60,40,0.6,0.4,5,7,0.9633
60,40,0.6,0.4,7,3,0.9643
60,40,0.6,0.4,7,5,0.9548
60,40,0.6,0.4,7,7,0.9881
60,40,0.6,0.6,3,3,0.9333
60,40,0.6,0.6,3,5,0.95
60,40,0.6,0.6,3,7,0.9389
60,40,0.6,0.6,5,3,0.9667
60,40,0.6,0.6,5,5,0.9567
60,40,0.6,0.6,5,7,0.96
60,40,0.6,0.6,7,3,0.9286
60,40,0.6,0.6,7,5,0.9476
60,40,0.6,0.6,7,7,0.969
60,40,0.8,0.4,3,3,0.9278
60,40,0.8,0.4,3,5,0.9444
60,40,0.8,0.4,3,7,0.9722
60,40,0.8,0.4,5,3,0.93
60,40,0.8,0.4,5,5,0.9667
60,40,0.8,0.4,5,7,0.97
