total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,alpha,accuracy
60,30,0.2,0.2,3,3,3,0.95
60,30,0.2,0.2,3,3,6,0.9556
60,30,0.2,0.2,3,3,9,0.9556
60,30,0.2,0.2,3,5,3,0.9389
60,30,0.2,0.2,3,5,6,0.9778
60,30,0.2,0.2,3,5,9,0.9667
60,30,0.2,0.2,3,7,3,0.9167
60,30,0.2,0.2,3,7,6,0.9778
60,30,0.2,0.2,3,7,9,0.9889
60,30,0.2,0.2,5,3,3,0.9267
60,30,0.2,0.2,5,3,6,0.9633
60,30,0.2,0.2,5,3,9,0.9767
60,30,0.2,0.2,5,5,3,0.91
60,30,0.2,0.2,5,5,6,0.9433
60,30,0.2,0.2,5,5,9,0.99
60,30,0.2,0.2,5,7,3,0.9333
60,30,0.2,0.2,5,7,6,0.9833
60,30,0.2,0.2,5,7,9,0.9733
60,30,0.2,0.2,7,3,3,0.9119
60,30,0.2,0.2,7,3,6,0.969
60,30,0.2,0.2,7,3,9,0.9714
60,30,0.2,0.2,7,5,3,0.9333
60,30,0.2,0.2,7,5,6,0.9762
60,30,0.2,0.2,7,5,9,0.9786
60,30,0.2,0.2,7,7,3,0.9095
60,30,0.2,0.2,7,7,6,0.969
60,30,0.2,0.2,7,7,9,0.9762
60,30,0.2,0.2,9,3,3,0.9481
60,30,0.2,0.2,9,3,6,0.9648
60,30,0.2,0.2,9,3,9,0.9648
60,30,0.2,0.2,9,5,3,0.9259
60,30,0.2,0.2,9,5,6,0.9815
60,30,0.2,0.2,9,5,9,0.9889
60,30,0.2,0.2,9,7,3,0.9537
60,30,0.2,0.2,9,7,6,0.9741
60,30,0.2,0.2,9,7,9,0.9722
60,30,0.2,0.4,3,3,3,0.9278
60,30,0.2,0.4,3,3,6,0.9444
60,30,0.2,0.4,3,3,9,0.9944
60,30,0.2,0.4,3,5,3,0.9444
60,30,0.2,0.4,3,5,6,0.9889
60,30,0.2,0.4,3,5,9,0.9944
60,30,0.2,0.4,3,7,3,0.9556
60,30,0.2,0.4,3,7,6,0.9667
60,30,0.2,0.4,3,7,9,0.9778
60,30,0.2,0.4,5,3,3,0.91
60,30,0.2,0.4,5,3,6,0.9567
60,30,0.2,0.4,5,3,9,0.9733
60,30,0.2,0.4,5,5,3,0.9633
60,30,0.2,0.4,5,5,6,0.9767
60,30,0.2,0.4,5,5,9,0.9833
60,30,0.2,0.4,5,7,3,0.9467
60,30,0.2,0.4,5,7,6,0.97
60,30,0.2,0.4,5,7,9,0.9867
60,30,0.2,0.4,7,3,3,0.0
60,30,0.2,0.4,7,3,6,0.9595
60,30,0.2,0.4,7,3,9,0.9762
60,30,0.2,0.4,7,5,3,0.9262
60,30,0.2,0.4,7,5,6,0.9714
60,30,0.2,0.4,7,5,9,0.9881
60,30,0.2,0.4,7,7,3,0.9524
60,30,0.2,0.4,7,7,6,0.981
60,30,0.2,0.4,7,7,9,0.9929
60,30,0.2,0.4,9,3,3,0.0
60,30,0.2,0.4,9,3,6,0.9389
60,30,0.2,0.4,9,3,9,0.987
60,30,0.2,0.4,9,5,3,0.0
60,30,0.2,0.4,9,5,6,0.9741
60,30,0.2,0.4,9,5,9,0.9704
60,30,0.2,0.4,9,7,3,0.9778
60,30,0.2,0.4,9,7,6,0.9722
60,30,0.2,0.4,9,7,9,0.9704
60,30,0.2,0.6,3,3,3,0.95
