total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.2,0.2,3,3,0.9778
60,30,0.2,0.2,3,5,0.9889
60,30,0.2,0.2,3,7,0.9667
60,30,0.2,0.2,5,3,0.9767
60,30,0.2,0.2,5,5,0.98
60,30,0.2,0.2,5,7,0.9633
60,30,0.2,0.2,7,3,0.9381
60,30,0.2,0.2,7,5,0.9619
60,30,0.2,0.2,7,7,0.9738
60,30,0.2,0.2,9,3,0.0
60,30,0.2,0.2,9,5,0.9611
60,30,0.2,0.2,9,7,0.9759
60,30,0.2,0.2,11,3,0.9439
60,30,0.2,0.2,11,5,0.9788
60,30,0.2,0.2,11,7,0.9818
60,30,0.2,0.4,3,3,0.9389
60,30,0.2,0.4,3,5,0.9667
60,30,0.2,0.4,3,7,0.9667
60,30,0.2,0.4,5,3,0.9767
60,30,0.2,0.4,5,5,0.96
60,30,0.2,0.4,5,7,0.97
60,30,0.2,0.4,7,3,0.9619
60,30,0.2,0.4,7,5,0.9786
60,30,0.2,0.4,7,7,0.9595
60,30,0.2,0.4,9,3,0.9667
60,30,0.2,0.4,9,5,0.9648
60,30,0.2,0.4,9,7,0.0
60,30,0.2,0.4,11,3,0.0
60,30,0.2,0.4,11,5,0.953
60,30,0.2,0.4,11,7,0.0
60,30,0.2,0.6,3,3,0.9611
60,30,0.2,0.6,3,5,0.9722
60,30,0.2,0.6,3,7,0.9333
60,30,0.2,0.6,5,3,0.9567
60,30,0.2,0.6,5,5,0.9733
60,30,0.2,0.6,5,7,0.9567
60,30,0.2,0.6,7,3,0.0
60,30,0.2,0.6,7,5,0.969
60,30,0.2,0.6,7,7,0.9881
60,30,0.2,0.6,9,3,0.0
60,30,0.2,0.6,9,5,0.0
60,30,0.2,0.6,9,7,0.9741
60,30,0.2,0.6,11,3,0.0
60,30,0.2,0.6,11,5,0.0
60,30,0.2,0.6,11,7,0.9667
60,30,0.2,0.8,3,3,0.95
60,30,0.2,0.8,3,5,0.9722
60,30,0.2,0.8,3,7,0.9889
60,30,0.2,0.8,5,3,0.98
60,30,0.2,0.8,5,5,0.9567
60,30,0.2,0.8,5,7,0.9933
60,30,0.2,0.8,7,3,0.95
60,30,0.2,0.8,7,5,0.9643
60,30,0.2,0.8,7,7,0.9714
60,30,0.2,0.8,9,3,0.0
60,30,0.2,0.8,9,5,0.0
60,30,0.2,0.8,9,7,0.0
60,30,0.2,0.8,11,3,0.0
60,30,0.2,0.8,11,5,0.0
60,30,0.2,0.8,11,7,0.9864
60,30,0.4,0.2,3,3,0.95
60,30,0.4,0.2,3,5,0.9167
60,30,0.4,0.2,3,7,0.9222
60,30,0.4,0.2,5,3,0.9433
60,30,0.4,0.2,5,5,0.9533
60,30,0.4,0.2,5,7,0.9467
60,30,0.4,0.2,7,3,0.9524
60,30,0.4,0.2,7,5,0.9548
60,30,0.4,0.2,7,7,0.95
60,30,0.4,0.2,9,3,0.9259
60,30,0.4,0.2,9,5,0.0
60,30,0.4,0.2,9,7,0.9593
60,30,0.4,0.2,11,3,0.0
60,30,0.4,0.2,11,5,0.9045
60,30,0.4,0.2,11,7,0.9576
60,30,0.4,0.4,3,3,0.9778
60,30,0.4,0.4,3,5,0.9611
60,30,0.4,0.4,3,7,0.9444
60,30,0.4,0.4,5,3,0.93
60,30,0.4,0.4,5,5,0.9767
60,30,0.4,0.4,5,7,0.9533
60,30,0.4,0.4,7,3,0.9643
60,30,0.4,0.4,7,5,0.0
60,30,0.4,0.4,7,7,0.9619
60,30,0.4,0.4,9,3,0.9593
60,30,0.4,0.4,9,5,0.0
60,30,0.4,0.4,9,7,0.0
60,30,0.4,0.4,11,3,0.0
60,30,0.4,0.4,11,5,0.0
60,30,0.4,0.4,11,7,0.0
60,30,0.4,0.6,3,3,0.9056
60,30,0.4,0.6,3,5,0.9833
60,30,0.4,0.6,3,7,0.9333
60,30,0.4,0.6,5,3,0.9433
60,30,0.4,0.6,5,5,0.9667
60,30,0.4,0.6,5,7,0.9633
60,30,0.4,0.6,7,3,0.9333
60,30,0.4,0.6,7,5,0.0
60,30,0.4,0.6,7,7,0.969
60,30,0.4,0.6,9,3,0.0
60,30,0.4,0.6,9,5,0.9759
60,30,0.4,0.6,9,7,0.0
60,30,0.4,0.6,11,3,0.0
60,30,0.4,0.6,11,5,0.0
60,30,0.4,0.6,11,7,0.0
60,30,0.4,0.8,3,3,0.9278
60,30,0.4,0.8,3,5,0.9333
60,30,0.4,0.8,3,7,0.9611
60,30,0.4,0.8,5,3,0.9367
60,30,0.4,0.8,5,5,0.0
60,30,0.4,0.8,5,7,0.9667
60,30,0.4,0.8,7,3,0.0
60,30,0.4,0.8,7,5,0.9476
60,30,0.4,0.8,7,7,0.9524
60,30,0.4,0.8,9,3,0.0
60,30,0.4,0.8,9,5,0.0
60,30,0.4,0.8,9,7,0.0
60,30,0.4,0.8,11,3,0.0
60,30,0.4,0.8,11,5,0.0
60,30,0.4,0.8,11,7,0.0
60,30,0.6,0.2,3,3,0.9056
60,30,0.6,0.2,3,5,0.9278
60,30,0.6,0.2,3,7,0.9056
60,30,0.6,0.2,5,3,0.94
60,30,0.6,0.2,5,5,0.91
60,30,0.6,0.2,5,7,0.9267
60,30,0.6,0.2,7,3,0.95
60,30,0.6,0.2,7,5,0.9357
60,30,0.6,0.2,7,7,0.9286
60,30,0.6,0.2,9,3,0.9296
60,30,0.6,0.2,9,5,0.9481
60,30,0.6,0.2,9,7,0.0
60,30,0.6,0.2,11,3,0.0
60,30,0.6,0.2,11,5,0.0
60,30,0.6,0.2,11,7,0.9636
60,30,0.6,0.4,3,3,0.9
60,30,0.6,0.4,3,5,0.9444
60,30,0.6,0.4,3,7,0.9389
60,30,0.6,0.4,5,3,0.9333
60,30,0.6,0.4,5,5,0.92
60,30,0.6,0.4,5,7,0.9533
60,30,0.6,0.4,7,3,0.0
60,30,0.6,0.4,7,5,0.0
60,30,0.6,0.4,7,7,0.9667
60,30,0.6,0.4,9,3,0.9352
