total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
60,30,0.2,0.2,5,3,0.9633,1.5838,0.9631
60,30,0.2,0.8,5,3,0.9667,1.575,0.9648
60,30,0.8,0.2,5,3,0.9267,1.5353,0.9266
60,30,0.8,0.8,5,3,0.9033,1.5746,0.8994
60,50,0.2,0.2,5,3,0.96,1.5859,0.9598
60,50,0.2,0.8,5,3,0.97,1.585,0.9701
60,50,0.8,0.2,5,3,0.9167,1.5493,0.9178
60,50,0.8,0.8,5,3,0.87,1.5776,0.8706
60,80,0.2,0.2,5,3,0.9567,1.5249,0.9524
60,80,0.2,0.8,5,3,0.96,1.5745,0.9601
60,80,0.8,0.2,5,3,0.8967,1.5811,0.8965
60,80,0.8,0.8,5,3,0.87,1.4873,0.8606
60,100,0.2,0.2,5,3,0.9433,1.5693,0.9433
60,100,0.2,0.8,5,3,0.9467,1.5038,0.9482
60,100,0.8,0.2,5,3,0.86,1.5515,0.8558
60,100,0.8,0.8,5,3,0.9033,1.576,0.9024
100,30,0.2,0.2,5,3,0.96,1.5797,0.9602
100,30,0.2,0.8,5,3,0.956,1.585,0.9557
100,30,0.8,0.2,5,3,0.886,1.5829,0.8852
100,30,0.8,0.8,5,3,0.908,1.5432,0.9028
100,50,0.2,0.2,5,3,0.942,1.5709,0.9412
100,50,0.2,0.8,5,3,0.954,1.5781,0.9541
100,50,0.8,0.2,5,3,0.89,1.5423,0.8856
100,50,0.8,0.8,5,3,0.894,1.5627,0.8907
100,80,0.2,0.2,5,3,0.944,1.5809,0.9438
100,80,0.2,0.8,5,3,0.962,1.5427,0.96
100,80,0.8,0.2,5,3,0.924,1.5551,0.9217
100,80,0.8,0.8,5,3,0.906,1.5725,0.9026
100,100,0.2,0.2,5,3,0.958,1.5826,0.9582
100,100,0.2,0.8,5,3,0.94,1.5667,0.9373
100,100,0.8,0.2,5,3,0.902,1.5782,0.9024
100,100,0.8,0.8,5,3,0.892,1.5538,0.8899
140,30,0.2,0.2,5,3,0.9543,1.5665,0.9536
140,30,0.2,0.8,5,3,0.9714,1.579,0.9714
140,30,0.8,0.2,5,3,0.9029,1.5796,0.9025
140,30,0.8,0.8,5,3,0.9057,1.5629,0.9026
140,50,0.2,0.2,5,3,0.9671,1.5734,0.9674
140,50,0.2,0.8,5,3,0.9471,1.5719,0.9473
140,50,0.8,0.2,5,3,0.8843,1.5572,0.8806
140,50,0.8,0.8,5,3,0.8786,1.5854,0.8785
140,80,0.2,0.2,5,3,0.9571,1.5762,0.9569
140,80,0.2,0.8,5,3,0.9443,1.5691,0.943
140,80,0.8,0.2,5,3,0.9171,1.5789,0.9157
140,80,0.8,0.8,5,3,0.8829,1.5853,0.883
140,100,0.2,0.2,5,3,0.9471,1.5567,0.9443
140,100,0.2,0.8,5,3,0.9443,1.5747,0.9447
140,100,0.8,0.2,5,3,0.9029,1.5805,0.9029
140,100,0.8,0.8,5,3,0.9143,1.5561,0.9112
