total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
60,30,0.2,0.2,3,3,0.9444,1.5835,0.945
60,30,0.2,0.2,3,5,0.9722,2.2911,0.9674
60,30,0.2,0.2,3,7,0.9611,2.7466,0.9539
60,30,0.2,0.2,5,3,0.9467,1.57,0.9451
60,30,0.2,0.2,5,5,0.9633,2.3078,0.9614
60,30,0.2,0.2,5,7,0.9733,2.7075,0.9728
60,30,0.2,0.2,7,3,0.9643,1.5612,0.9636
60,30,0.2,0.2,7,5,0.9786,2.2687,0.9766
60,30,0.2,0.2,7,7,0.9833,2.7463,0.9831
60,30,0.2,0.2,9,3,0.9556,1.5822,0.9556
60,30,0.2,0.2,9,5,0.9407,2.3114,0.941
60,30,0.2,0.2,9,7,0.9704,2.7475,0.9688
60,30,0.2,0.2,11,3,0.9561,1.5803,0.9559
60,30,0.2,0.2,11,5,0.9636,2.2779,0.9612
60,30,0.2,0.2,11,7,0.9561,2.7438,0.9539
60,30,0.2,0.4,3,3,0.9556,1.563,0.9535
60,30,0.2,0.4,3,5,0.9611,2.2451,0.9563
60,30,0.2,0.4,3,7,0.9611,2.7656,0.9596
60,30,0.2,0.4,5,3,0.9533,1.5673,0.9528
60,30,0.2,0.4,5,5,0.9667,2.2363,0.9622
60,30,0.2,0.4,5,7,0.9667,2.7473,0.9663
60,30,0.2,0.4,7,3,0.9429,1.5714,0.942
60,30,0.2,0.4,7,5,0.9643,2.3166,0.964
60,30,0.2,0.4,7,7,0.9714,2.7475,0.9718
60,30,0.2,0.4,9,3,0.9444,1.5078,0.9391
60,30,0.2,0.4,9,5,0.9426,2.3111,0.9421
60,30,0.2,0.4,9,7,0.9685,2.7754,0.9676
60,30,0.2,0.4,11,3,0.9485,1.5805,0.9487
60,30,0.2,0.4,11,5,0.953,2.2806,0.9471
60,30,0.2,0.4,11,7,0.9515,2.7802,0.9497
60,30,0.2,0.6,3,3,0.9722,1.5768,0.972
60,30,0.2,0.6,3,5,0.9722,2.2881,0.9713
60,30,0.2,0.6,3,7,0.9833,2.6957,0.9841
60,30,0.2,0.6,5,3,0.9667,1.553,0.9672
60,30,0.2,0.6,5,5,0.9467,2.2663,0.9402
60,30,0.2,0.6,5,7,0.9733,2.6775,0.9724
60,30,0.2,0.6,7,3,0.9476,1.5527,0.9451
60,30,0.2,0.6,7,5,0.9595,2.2952,0.9571
60,30,0.2,0.6,7,7,0.9595,2.7427,0.9516
60,30,0.2,0.6,9,3,0.9444,1.582,0.944
60,30,0.2,0.6,9,5,0.9519,2.2851,0.9486
60,30,0.2,0.6,9,7,0.9759,2.6834,0.9712
60,30,0.2,0.6,11,3,0.9576,1.5352,0.9539
60,30,0.2,0.6,11,5,0.9606,2.3146,0.9605
60,30,0.2,0.6,11,7,0.9667,2.7788,0.9653
60,30,0.2,0.8,3,3,0.9444,1.5742,0.9423
60,30,0.2,0.8,3,5,0.9944,2.2712,0.9944
60,30,0.2,0.8,3,7,0.9778,2.7782,0.974
60,30,0.2,0.8,5,3,0.9833,1.5656,0.9825
60,30,0.2,0.8,5,5,0.9467,2.3064,0.9459
60,30,0.2,0.8,5,7,0.98,2.6807,0.969
60,30,0.2,0.8,7,3,0.9476,1.5517,0.9463
60,30,0.2,0.8,7,5,0.9667,2.2687,0.9629
60,30,0.2,0.8,7,7,0.9667,2.6857,0.9611
60,30,0.2,0.8,9,3,0.9241,1.5512,0.9226
60,30,0.2,0.8,9,5,0.9667,2.299,0.9675
60,30,0.2,0.8,9,7,0.9556,2.7027,0.9478
60,30,0.2,0.8,11,3,0.9455,1.5467,0.9423
60,30,0.2,0.8,11,5,0.9727,2.2542,0.9707
60,30,0.2,0.8,11,7,0.9652,2.6687,0.963
60,30,0.4,0.2,3,3,0.9111,1.5817,0.9116
60,30,0.4,0.2,3,5,0.9722,2.2818,0.9698
60,30,0.4,0.2,3,7,0.9556,2.7566,0.9548
60,30,0.4,0.2,5,3,0.93,1.5637,0.927
60,30,0.4,0.2,5,5,0.9533,2.3093,0.9519
60,30,0.4,0.2,5,7,0.9633,2.7445,0.9599
60,30,0.4,0.2,7,3,0.9381,1.5706,0.9392
60,30,0.4,0.2,7,5,0.9143,2.2448,0.9078
60,30,0.4,0.2,7,7,0.9476,2.7034,0.9454
60,30,0.4,0.2,9,3,0.9204,1.5448,0.917
60,30,0.4,0.2,9,5,0.9556,2.2936,0.9553
60,30,0.4,0.2,9,7,0.963,2.7419,0.959
60,30,0.4,0.2,11,3,0.9545,1.5767,0.9534
60,30,0.4,0.2,11,5,0.9333,2.2527,0.928
60,30,0.4,0.2,11,7,0.953,2.766,0.95
60,30,0.4,0.4,3,3,0.9444,1.573,0.9462
60,30,0.4,0.4,3,5,0.9444,2.2477,0.9377
60,30,0.4,0.4,3,7,0.9944,2.7728,0.9943
60,30,0.4,0.4,5,3,0.9367,1.531,0.9352
60,30,0.4,0.4,5,5,0.9533,2.309,0.9541
60,30,0.4,0.4,5,7,0.95,2.6916,0.951
60,30,0.4,0.4,7,3,0.9119,1.57,0.9094
60,30,0.4,0.4,7,5,0.9429,2.2628,0.9412
60,30,0.4,0.4,7,7,0.9643,2.7043,0.9655
60,30,0.4,0.4,9,3,0.9167,1.5479,0.9142
60,30,0.4,0.4,9,5,0.9537,2.3086,0.9518
60,30,0.4,0.4,9,7,0.9426,2.7923,0.9436
60,30,0.4,0.4,11,3,0.9485,1.5808,0.9479
60,30,0.4,0.4,11,5,0.9424,2.2907,0.9408
60,30,0.4,0.4,11,7,0.9515,2.7091,0.9458
60,30,0.4,0.6,3,3,0.9222,1.586,0.9217
60,30,0.4,0.6,3,5,0.9333,2.2627,0.927
60,30,0.4,0.6,3,7,0.9778,2.6324,0.9842
60,30,0.4,0.6,5,3,0.96,1.5254,0.9583
60,30,0.4,0.6,5,5,0.9667,2.2755,0.967
60,30,0.4,0.6,5,7,0.9633,2.7715,0.962
60,30,0.4,0.6,7,3,0.9357,1.5788,0.9358
60,30,0.4,0.6,7,5,0.9429,2.2633,0.9358
60,30,0.4,0.6,7,7,0.95,2.7332,0.949
60,30,0.4,0.6,9,3,0.9185,1.584,0.9185
60,30,0.4,0.6,9,5,0.9222,2.2733,0.9185
60,30,0.4,0.6,9,7,0.9722,2.6968,0.9729
60,30,0.4,0.6,11,3,0.9258,1.5669,0.9244
60,30,0.4,0.6,11,5,0.9303,2.2825,0.9308
60,30,0.4,0.6,11,7,0.9515,2.6691,0.9432
60,30,0.4,0.8,3,3,0.95,1.5607,0.9492
60,30,0.4,0.8,3,5,0.9389,2.3054,0.9383
60,30,0.4,0.8,3,7,0.9556,2.7502,0.95
60,30,0.4,0.8,5,3,0.9433,1.5842,0.9436
60,30,0.4,0.8,5,5,0.9633,2.3171,0.9635
60,30,0.4,0.8,5,7,0.9467,2.703,0.9456
60,30,0.4,0.8,7,3,0.9214,1.5853,0.9213
60,30,0.4,0.8,7,5,0.9357,2.2429,0.9337
60,30,0.4,0.8,7,7,0.9667,2.7598,0.9641
60,30,0.4,0.8,9,3,0.9204,1.5268,0.9159
60,30,0.4,0.8,9,5,0.9574,2.307,0.9575
60,30,0.4,0.8,9,7,0.9519,2.7722,0.948
60,30,0.4,0.8,11,3,0.9303,1.5518,0.9273
60,30,0.4,0.8,11,5,0.9424,2.3044,0.9401
60,30,0.4,0.8,11,7,0.9621,2.7649,0.9598
60,30,0.6,0.2,3,3,0.9389,1.5727,0.9392
60,30,0.6,0.2,3,5,0.9056,2.2306,0.8779
60,30,0.6,0.2,3,7,0.9556,2.7621,0.9528
60,30,0.6,0.2,5,3,0.8833,1.5538,0.8789
60,30,0.6,0.2,5,5,0.9633,2.2572,0.9568
60,30,0.6,0.2,5,7,0.9533,2.7432,0.9516
60,30,0.6,0.2,7,3,0.919,1.5844,0.9181
60,30,0.6,0.2,7,5,0.9286,2.2794,0.9228
60,30,0.6,0.2,7,7,0.9714,2.7376,0.9691
60,30,0.6,0.2,9,3,0.9185,1.57,0.9162
60,30,0.6,0.2,9,5,0.9333,2.2141,0.933
60,30,0.6,0.2,9,7,0.9593,2.7827,0.958
60,30,0.6,0.2,11,3,0.9485,1.5743,0.9484
60,30,0.6,0.2,11,5,0.9545,2.3187,0.955
60,30,0.6,0.2,11,7,0.9485,2.756,0.9486
60,30,0.6,0.4,3,3,0.8889,1.569,0.8899
60,30,0.6,0.4,3,5,0.9444,2.2287,0.9438
60,30,0.6,0.4,3,7,0.9333,2.741,0.9302
