total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
50,20,0.0,0.2,3,3,0.9533,1.5744,0.9518
50,20,0.0,0.2,3,5,0.9733,2.2578,0.9752
50,20,0.0,0.2,3,7,0.9733,2.7093,0.9753
50,20,0.0,0.2,3,9,0.9733,3.0165,0.9734
50,20,0.0,0.2,3,11,0.9667,3.209,0.9631
50,20,0.0,0.2,5,3,0.964,1.5317,0.9584
50,20,0.0,0.2,5,5,0.956,2.3094,0.9562
50,20,0.0,0.2,5,7,0.964,2.7702,0.9615
50,20,0.0,0.2,5,9,0.976,3.0245,0.9707
50,20,0.0,0.2,5,11,0.968,3.2539,0.9572
50,20,0.0,0.2,7,3,0.9171,1.5206,0.908
50,20,0.0,0.2,7,5,0.9657,2.2927,0.9653
50,20,0.0,0.2,7,7,0.9771,2.7373,0.9755
50,20,0.0,0.2,7,9,0.9571,3.0551,0.9488
50,20,0.0,0.2,7,11,0.98,3.3969,0.9773
50,20,0.0,0.2,9,3,0.9644,1.509,0.9617
50,20,0.0,0.2,9,5,0.9556,2.2424,0.9517
50,20,0.0,0.2,9,7,0.9622,2.7564,0.9585
50,20,0.0,0.2,9,9,0.9689,3.065,0.9651
50,20,0.0,0.2,9,11,0.9867,3.3491,0.9855
50,20,0.0,0.2,11,3,0.9382,1.5239,0.9309
50,20,0.0,0.2,11,5,0.9436,2.245,0.9397
50,20,0.0,0.2,11,7,0.9909,2.7538,0.9894
50,20,0.0,0.2,11,9,0.9709,3.0764,0.9693
50,20,0.0,0.2,11,11,0.9727,3.3571,0.9702
50,20,0.0,0.4,3,3,0.9133,1.5725,0.9131
50,20,0.0,0.4,3,5,0.9933,2.2772,0.9917
50,20,0.0,0.4,3,7,0.9467,2.7694,0.9509
50,20,0.0,0.4,3,9,0.98,3.1029,0.9796
50,20,0.0,0.4,3,11,0.9867,3.3608,0.9838
50,20,0.0,0.4,5,3,0.94,1.584,0.9404
50,20,0.0,0.4,5,5,0.952,2.2812,0.9506
50,20,0.0,0.4,5,7,0.976,2.7941,0.9755
50,20,0.0,0.4,5,9,0.96,3.0816,0.9597
50,20,0.0,0.4,5,11,0.976,3.3766,0.9744
50,20,0.0,0.4,7,3,0.9314,1.578,0.9314
50,20,0.0,0.4,7,5,0.9571,2.2143,0.9534
50,20,0.0,0.4,7,7,0.9457,2.7238,0.9403
50,20,0.0,0.4,7,9,0.9886,3.1135,0.9879
50,20,0.0,0.4,7,11,0.9886,3.3013,0.9876
50,20,0.0,0.4,9,3,0.9378,1.5759,0.9374
50,20,0.0,0.4,9,5,0.9756,2.2483,0.9727
50,20,0.0,0.4,9,7,0.9467,2.7473,0.9476
50,20,0.0,0.4,9,9,0.9733,3.1344,0.9747
50,20,0.0,0.4,9,11,0.9689,3.2778,0.9632
50,20,0.0,0.4,11,3,0.92,1.5849,0.9197
50,20,0.0,0.4,11,5,0.9618,2.2585,0.9627
50,20,0.0,0.4,11,7,0.9691,2.663,0.9664
50,20,0.0,0.4,11,9,0.9764,3.0247,0.9708
50,20,0.0,0.4,11,11,0.9855,3.2378,0.984
50,20,0.0,0.6,3,3,0.9333,1.5613,0.9331
50,20,0.0,0.6,3,5,0.9533,2.2595,0.9518
50,20,0.0,0.6,3,7,0.9733,2.7023,0.967
50,20,0.0,0.6,3,9,0.9467,3.0339,0.9275
50,20,0.0,0.6,3,11,0.98,3.3609,0.9796
50,20,0.0,0.6,5,3,0.944,1.5406,0.9418
50,20,0.0,0.6,5,5,0.948,2.3174,0.9475
50,20,0.0,0.6,5,7,0.976,2.7204,0.9743
50,20,0.0,0.6,5,9,0.984,3.0582,0.9803
50,20,0.0,0.6,5,11,0.964,3.2807,0.9589
50,20,0.0,0.6,7,3,0.9486,1.5683,0.9463
50,20,0.0,0.6,7,5,0.9371,2.2572,0.9328
50,20,0.0,0.6,7,7,0.9914,2.7158,0.9899
50,20,0.0,0.6,7,9,0.98,3.0326,0.9814
50,20,0.0,0.6,7,11,0.9714,3.1828,0.97
50,20,0.0,0.6,9,3,0.9444,1.5748,0.9444
50,20,0.0,0.6,9,5,0.96,2.2631,0.9582
50,20,0.0,0.6,9,7,0.9711,2.7224,0.971
50,20,0.0,0.6,9,9,0.9756,3.0183,0.9719
50,20,0.0,0.6,9,11,0.9689,3.3496,0.9697
50,20,0.0,0.6,11,3,0.9473,1.5415,0.9434
50,20,0.0,0.6,11,5,0.9564,2.2512,0.9518
50,20,0.0,0.6,11,7,0.9655,2.6797,0.9625
50,20,0.0,0.6,11,9,0.9745,3.0555,0.9721
50,20,0.0,0.6,11,11,0.9582,3.2418,0.9511
50,20,0.0,0.8,3,3,0.9733,1.4923,0.9721
50,20,0.0,0.8,3,5,0.9733,2.2931,0.9701
50,20,0.0,0.8,3,7,0.9467,2.6855,0.9355
50,20,0.0,0.8,3,9,0.9667,3.0569,0.9689
50,20,0.0,0.8,3,11,0.98,3.1406,0.9787
50,20,0.0,0.8,5,3,0.956,1.532,0.9548
50,20,0.0,0.8,5,5,0.952,2.2504,0.9528
50,20,0.0,0.8,5,7,0.984,2.697,0.983
50,20,0.0,0.8,5,9,0.968,3.0386,0.9626
50,20,0.0,0.8,5,11,0.976,3.2627,0.964
50,20,0.0,0.8,7,3,0.94,1.4803,0.9355
50,20,0.0,0.8,7,5,0.9429,2.2948,0.9443
50,20,0.0,0.8,7,7,0.9629,2.7306,0.9611
50,20,0.0,0.8,7,9,0.9743,2.9931,0.9704
50,20,0.0,0.8,7,11,0.98,3.3918,0.9811
50,20,0.0,0.8,9,3,0.9244,1.535,0.9227
50,20,0.0,0.8,9,5,0.9444,2.227,0.9382
50,20,0.0,0.8,9,7,0.9644,2.6975,0.9583
50,20,0.0,0.8,9,9,0.9756,3.044,0.9747
50,20,0.0,0.8,9,11,0.9911,3.3412,0.9916
50,20,0.0,0.8,11,3,0.9473,1.557,0.947
50,20,0.0,0.8,11,5,0.96,2.311,0.9604
50,20,0.0,0.8,11,7,0.9691,2.7355,0.9705
50,20,0.0,0.8,11,9,0.9782,3.1359,0.9784
50,20,0.0,0.8,11,11,0.9727,3.3448,0.9702
50,20,0.2,0.2,3,3,0.96,1.5726,0.9602
50,20,0.2,0.2,3,5,0.9733,2.2577,0.9762
50,20,0.2,0.2,3,7,0.9467,2.7336,0.9453
50,20,0.2,0.2,3,9,0.9933,3.015,0.9949
50,20,0.2,0.2,3,11,0.9467,3.2191,0.9529
50,20,0.2,0.2,5,3,0.92,1.5834,0.9191
50,20,0.2,0.2,5,5,0.936,2.2794,0.9337
50,20,0.2,0.2,5,7,0.94,2.7494,0.9418
50,20,0.2,0.2,5,9,0.928,3.0549,0.9218
50,20,0.2,0.2,5,11,0.944,3.3237,0.9296
50,20,0.2,0.2,7,3,0.9171,1.52,0.9138
50,20,0.2,0.2,7,5,0.9371,2.2775,0.939
50,20,0.2,0.2,7,7,0.96,2.7832,0.9582
50,20,0.2,0.2,7,9,0.9486,3.0349,0.9477
50,20,0.2,0.2,7,11,0.96,3.3407,0.953
50,20,0.2,0.2,9,3,0.9422,1.5822,0.9419
50,20,0.2,0.2,9,5,0.9178,2.304,0.9148
50,20,0.2,0.2,9,7,0.9378,2.6732,0.9297
50,20,0.2,0.2,9,9,0.9489,2.9577,0.935
50,20,0.2,0.2,9,11,0.9778,3.2691,0.9748
50,20,0.2,0.2,11,3,0.9327,1.5711,0.9322
50,20,0.2,0.2,11,5,0.9164,2.2851,0.9145
50,20,0.2,0.2,11,7,0.9345,2.7253,0.9294
50,20,0.2,0.2,11,9,0.9582,3.0545,0.9558
50,20,0.2,0.2,11,11,0.9673,3.225,0.9661
50,20,0.2,0.4,3,3,0.9133,1.5412,0.9091
50,20,0.2,0.4,3,5,0.96,2.2681,0.9585
50,20,0.2,0.4,3,7,0.9467,2.7321,0.9453
50,20,0.2,0.4,3,9,0.9667,2.9757,0.9515
50,20,0.2,0.4,3,11,0.9667,3.354,0.9679
50,20,0.2,0.4,5,3,0.908,1.5212,0.9028
50,20,0.2,0.4,5,5,0.952,2.319,0.9531
50,20,0.2,0.4,5,7,0.94,2.7299,0.9318
50,20,0.2,0.4,5,9,0.94,3.1426,0.9395
50,20,0.2,0.4,5,11,0.96,3.3488,0.9561
50,20,0.2,0.4,7,3,0.9486,1.5486,0.9463
50,20,0.2,0.4,7,5,0.9314,2.2161,0.9238
50,20,0.2,0.4,7,7,0.9514,2.7026,0.9445
50,20,0.2,0.4,7,9,0.9571,3.0277,0.952
50,20,0.2,0.4,7,11,0.9543,3.3493,0.9389
50,20,0.2,0.4,9,3,0.9578,1.5747,0.9576
50,20,0.2,0.4,9,5,0.9489,2.3079,0.9484
50,20,0.2,0.4,9,7,0.9422,2.6073,0.9395
50,20,0.2,0.4,9,9,0.9578,3.1154,0.9563
50,20,0.2,0.4,9,11,0.9756,3.3182,0.9732
50,20,0.2,0.4,11,3,0.9455,1.5501,0.9451
50,20,0.2,0.4,11,5,0.9018,2.2928,0.8967
