total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
50,20,0.0,0.2,3,3,0.9933,1.54,0.9943
50,20,0.0,0.2,3,5,0.98,2.2886,0.9774
50,20,0.0,0.2,3,7,0.98,2.7482,0.9754
50,20,0.0,0.2,3,9,0.9933,3.1108,0.9914
50,20,0.0,0.2,3,11,1.0,3.3257,1.0
50,20,0.0,0.2,5,3,0.976,1.5422,0.9722
50,20,0.0,0.2,5,5,0.984,2.2864,0.9855
50,20,0.0,0.2,5,7,0.992,2.7083,0.9895
50,20,0.0,0.2,5,9,0.976,3.0389,0.977
50,20,0.0,0.2,5,11,0.972,3.2495,0.9577
50,20,0.0,0.2,7,3,0.9886,1.5827,0.9888
50,20,0.0,0.2,7,5,0.0,0.0,0.0
50,20,0.0,0.2,7,7,0.9914,2.7205,0.9896
50,20,0.0,0.2,7,9,0.9914,3.0738,0.9907
50,20,0.0,0.2,7,11,0.9943,3.38,0.9928
50,20,0.0,0.2,9,3,0.0,0.0,0.0
50,20,0.0,0.2,9,5,0.9956,2.24,0.9953
50,20,0.0,0.2,9,7,0.0,0.0,0.0
50,20,0.0,0.2,9,9,0.9933,3.083,0.9932
50,20,0.0,0.2,9,11,0.0,0.0,0.0
50,20,0.0,0.2,11,3,0.0,0.0,0.0
50,20,0.0,0.2,11,5,0.0,0.0,0.0
50,20,0.0,0.2,11,7,0.0,0.0,0.0
50,20,0.0,0.2,11,9,0.0,0.0,0.0
50,20,0.0,0.2,11,11,0.0,0.0,0.0
50,20,0.0,0.4,3,3,0.9867,1.5776,0.9872
50,20,0.0,0.4,3,5,0.9667,2.2021,0.9549
50,20,0.0,0.4,3,7,0.9733,2.7326,0.9647
50,20,0.0,0.4,3,9,0.98,3.0847,0.9771
50,20,0.0,0.4,3,11,0.9867,3.2841,0.9869
50,20,0.0,0.4,5,3,0.972,1.5191,0.9712
50,20,0.0,0.4,5,5,0.968,2.2814,0.963
50,20,0.0,0.4,5,7,0.972,2.6983,0.9704
50,20,0.0,0.4,5,9,0.996,3.0704,0.9883
50,20,0.0,0.4,5,11,0.992,3.354,0.9864
50,20,0.0,0.4,7,3,0.0,0.0,0.0
50,20,0.0,0.4,7,5,0.9743,2.3014,0.9735
50,20,0.0,0.4,7,7,0.9857,2.6664,0.98
50,20,0.0,0.4,7,9,0.9857,2.9063,0.9815
50,20,0.0,0.4,7,11,0.98,3.3291,0.9785
50,20,0.0,0.4,9,3,0.9689,1.5756,0.9683
50,20,0.0,0.4,9,5,0.0,0.0,0.0
50,20,0.0,0.4,9,7,0.0,0.0,0.0
50,20,0.0,0.4,9,9,0.0,0.0,0.0
50,20,0.0,0.4,9,11,0.0,0.0,0.0
50,20,0.0,0.4,11,3,0.0,0.0,0.0
50,20,0.0,0.4,11,5,0.0,0.0,0.0
50,20,0.0,0.4,11,7,0.0,0.0,0.0
50,20,0.0,0.4,11,9,0.0,0.0,0.0
50,20,0.0,0.4,11,11,0.0,0.0,0.0
50,20,0.0,0.6,3,3,0.9467,1.5138,0.9377
50,20,0.0,0.6,3,5,0.9733,2.264,0.9724
50,20,0.0,0.6,3,7,0.9533,2.6676,0.95
50,20,0.0,0.6,3,9,1.0,3.0526,1.0
50,20,0.0,0.6,3,11,0.9867,3.2248,0.9769
50,20,0.0,0.6,5,3,0.956,1.569,0.9537
50,20,0.0,0.6,5,5,0.976,2.204,0.9706
50,20,0.0,0.6,5,7,0.984,2.6364,0.9844
50,20,0.0,0.6,5,9,0.988,3.0081,0.9831
50,20,0.0,0.6,5,11,0.972,3.3895,0.97
50,20,0.0,0.6,7,3,0.0,0.0,0.0
50,20,0.0,0.6,7,5,0.0,0.0,0.0
50,20,0.0,0.6,7,7,0.0,0.0,0.0
50,20,0.0,0.6,7,9,0.9857,3.1161,0.9852
50,20,0.0,0.6,7,11,0.9914,3.3825,0.9891
50,20,0.0,0.6,9,3,0.0,0.0,0.0
50,20,0.0,0.6,9,5,0.0,0.0,0.0
50,20,0.0,0.6,9,7,0.0,0.0,0.0
50,20,0.0,0.6,9,9,0.0,0.0,0.0
50,20,0.0,0.6,9,11,0.0,0.0,0.0
50,20,0.0,0.6,11,3,0.0,0.0,0.0
50,20,0.0,0.6,11,5,0.0,0.0,0.0
50,20,0.0,0.6,11,7,0.0,0.0,0.0
50,20,0.0,0.6,11,9,0.0,0.0,0.0
50,20,0.0,0.6,11,11,0.0,0.0,0.0
50,20,0.0,0.8,3,3,0.9333,1.5318,0.9309
50,20,0.0,0.8,3,5,0.96,2.2863,0.9551
50,20,0.0,0.8,3,7,0.9933,2.7101,0.9939
50,20,0.0,0.8,3,9,0.9733,3.0764,0.9725
50,20,0.0,0.8,3,11,0.98,3.3477,0.9713
50,20,0.0,0.8,5,3,0.956,1.574,0.9555
50,20,0.0,0.8,5,5,0.956,2.2238,0.9492
50,20,0.0,0.8,5,7,0.988,2.8021,0.9872
50,20,0.0,0.8,5,9,0.98,3.1266,0.9768
50,20,0.0,0.8,5,11,0.972,3.3061,0.9737
50,20,0.0,0.8,7,3,0.0,0.0,0.0
50,20,0.0,0.8,7,5,0.0,0.0,0.0
50,20,0.0,0.8,7,7,0.0,0.0,0.0
50,20,0.0,0.8,7,9,0.98,3.0878,0.9796
50,20,0.0,0.8,7,11,0.98,3.131,0.9679
50,20,0.0,0.8,9,3,0.0,0.0,0.0
50,20,0.0,0.8,9,5,0.0,0.0,0.0
50,20,0.0,0.8,9,7,0.0,0.0,0.0
