total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
1643,30,0,0.1,3,9,0.9229,3.1659,0.9226
1643,30,0,0.1,5,9,0.9367,3.168,0.9367
1643,30,0,0.1,7,9,0.9399,3.1684,0.9399
1643,30,0,0.1,9,9,0.9358,3.1634,0.9356
1643,30,0,0.1,11,9,0.944,3.1686,0.9439
1643,30,0,0.1,13,9,0.9339,3.1676,0.9338
1643,30,0,0.1,15,9,0.9374,3.1669,0.9373
1643,30,0,0.1,17,9,0.9393,3.1642,0.939
1643,30,0,0.1,19,9,0.9452,3.1641,0.9449
1643,30,0,0.15,3,9,0.9249,3.1674,0.9252
1643,30,0,0.15,5,9,0.9395,3.1682,0.9394
1643,30,0,0.15,7,9,0.9485,3.1659,0.9484
1643,30,0,0.15,9,9,0.9289,3.1678,0.9288
1643,30,0,0.15,11,9,0.9493,3.1648,0.9491
1643,30,0,0.15,13,9,0.9264,3.1669,0.9262
1643,30,0,0.15,15,9,0.9443,3.1668,0.9442
1643,30,0,0.15,17,9,0.9411,3.1675,0.941
1643,30,0,0.15,19,9,0.9409,3.1646,0.9408
1643,30,0,0.2,3,9,0.9389,3.168,0.9388
1643,30,0,0.2,5,9,0.9377,3.1629,0.9374
1643,30,0,0.2,7,9,0.9424,3.1644,0.9422
1643,30,0,0.2,9,9,0.9424,3.1657,0.9423
1643,30,0,0.2,11,9,0.9321,3.1653,0.9315
1643,30,0,0.2,13,9,0.9322,3.1686,0.9322
1643,30,0,0.2,15,9,0.9259,3.1687,0.926
1643,30,0,0.2,17,9,0.9303,3.1658,0.9301
1643,30,0,0.2,19,9,0.9423,3.166,0.9422
1643,30,0,0.25,3,9,0.9477,3.1672,0.9476
1643,30,0,0.25,5,9,0.9446,3.1675,0.9443
1643,30,0,0.25,7,9,0.9422,3.1675,0.9421
1643,30,0,0.25,9,9,0.9445,3.1657,0.9443
1643,30,0,0.25,11,9,0.9353,3.1673,0.9351
1643,30,0,0.25,13,9,0.9492,3.1668,0.9491
1643,30,0,0.25,15,9,0.9404,3.1677,0.9404
1643,30,0,0.25,17,9,0.9113,3.1664,0.911
1643,30,0,0.25,19,9,0.9409,3.1677,0.9408
1643,30,0,0.3,3,9,0.9375,3.1676,0.9372
1643,30,0,0.3,5,9,0.9378,3.1658,0.9377
1643,30,0,0.3,7,9,0.9444,3.1657,0.9441
1643,30,0,0.3,9,9,0.9395,3.1657,0.9392
1643,30,0,0.3,11,9,0.9395,3.1641,0.9392
1643,30,0,0.3,13,9,0.9388,3.167,0.9385
1643,30,0,0.3,15,9,0.9429,3.169,0.9429
1643,30,0,0.3,17,9,0.936,3.1653,0.9358
