total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
25,5,0,0.1,3,4,0.0,0.0,0.0
25,5,0,0.1,5,4,0.0,0.0,0.0
25,5,0,0.1,7,4,0.0,0.0,0.0
25,5,0,0.1,9,4,0.0,0.0,0.0
25,5,0,0.1,11,4,0.0,0.0,0.0
25,5,0,0.1,13,4,0.0,0.0,0.0
25,5,0,0.1,15,4,0.0,0.0,0.0
25,5,0,0.1,17,4,0.0,0.0,0.0
25,5,0,0.1,19,4,0.0,0.0,0.0
25,5,0,0.15,3,4,0.0,0.0,0.0
25,5,0,0.15,5,4,0.0,0.0,0.0
25,5,0,0.15,7,4,0.0,0.0,0.0
25,5,0,0.15,9,4,0.0,0.0,0.0
25,5,0,0.15,11,4,0.0,0.0,0.0
25,5,0,0.15,13,4,0.0,0.0,0.0
25,5,0,0.15,15,4,0.0,0.0,0.0
25,5,0,0.15,17,4,0.0,0.0,0.0
25,5,0,0.15,19,4,0.0,0.0,0.0
25,5,0,0.2,3,4,0.0,0.0,0.0
25,5,0,0.2,5,4,0.0,0.0,0.0
25,5,0,0.2,7,4,0.0,0.0,0.0
25,5,0,0.2,9,4,0.0,0.0,0.0
25,5,0,0.2,11,4,0.0,0.0,0.0
25,5,0,0.2,13,4,0.0,0.0,0.0
25,5,0,0.2,15,4,0.0,0.0,0.0
25,5,0,0.2,17,4,0.0,0.0,0.0
25,5,0,0.2,19,4,0.0,0.0,0.0
25,5,0,0.25,3,4,0.0,0.0,0.0
25,5,0,0.25,5,4,0.0,0.0,0.0
25,5,0,0.25,7,4,0.0,0.0,0.0
25,5,0,0.25,9,4,0.0,0.0,0.0
25,5,0,0.25,11,4,0.0,0.0,0.0
25,5,0,0.25,13,4,0.0,0.0,0.0
25,5,0,0.25,15,4,0.0,0.0,0.0
25,5,0,0.25,17,4,0.0,0.0,0.0
25,5,0,0.25,19,4,0.0,0.0,0.0
25,5,0,0.3,3,4,0.0,0.0,0.0
25,5,0,0.3,5,4,0.0,0.0,0.0
25,5,0,0.3,7,4,0.0,0.0,0.0
25,5,0,0.3,9,4,0.0,0.0,0.0
25,5,0,0.3,11,4,0.0,0.0,0.0
25,5,0,0.3,13,4,0.0,0.0,0.0
25,5,0,0.3,15,4,0.0,0.0,0.0
25,5,0,0.3,17,4,0.0,0.0,0.0
25,5,0,0.3,19,4,0.0,0.0,0.0
25,5,0,0.35,3,4,0.0,0.0,0.0
25,5,0,0.35,5,4,0.0,0.0,0.0
25,5,0,0.35,7,4,0.0,0.0,0.0
25,5,0,0.35,9,4,0.0,0.0,0.0
25,5,0,0.35,11,4,0.0,0.0,0.0
25,5,0,0.35,13,4,0.0,0.0,0.0
25,5,0,0.35,15,4,0.0,0.0,0.0
25,5,0,0.35,17,4,0.0,0.0,0.0
25,5,0,0.35,19,4,0.0,0.0,0.0
25,5,0,0.4,3,4,0.0,0.0,0.0
25,5,0,0.4,5,4,0.0,0.0,0.0
25,5,0,0.4,7,4,0.0,0.0,0.0
25,5,0,0.4,9,4,0.0,0.0,0.0
25,5,0,0.4,11,4,0.0,0.0,0.0
25,5,0,0.4,13,4,0.0,0.0,0.0
25,5,0,0.4,15,4,0.0,0.0,0.0
25,5,0,0.4,17,4,0.0,0.0,0.0
25,5,0,0.4,19,4,0.0,0.0,0.0
25,5,0,0.45,3,4,0.0,0.0,0.0
25,5,0,0.45,5,4,0.0,0.0,0.0
25,5,0,0.45,7,4,0.0,0.0,0.0
25,5,0,0.45,9,4,0.0,0.0,0.0
25,5,0,0.45,11,4,0.0,0.0,0.0
25,5,0,0.45,13,4,0.0,0.0,0.0
25,5,0,0.45,15,4,0.0,0.0,0.0
25,5,0,0.45,17,4,0.0,0.0,0.0
25,5,0,0.45,19,4,0.0,0.0,0.0
25,5,0,0.5,3,4,0.0,0.0,0.0
25,5,0,0.5,5,4,0.0,0.0,0.0
25,5,0,0.5,7,4,0.0,0.0,0.0
25,5,0,0.5,9,4,0.0,0.0,0.0
25,5,0,0.5,11,4,0.0,0.0,0.0
25,5,0,0.5,13,4,0.0,0.0,0.0
25,5,0,0.5,15,4,0.0,0.0,0.0
25,5,0,0.5,17,4,0.0,0.0,0.0
25,5,0,0.5,19,4,0.0,0.0,0.0
