subject,predicate,object,datatype,Gold standard
1111 Reinmuthia,arg peri,234.94564,english,"""incorrect"""
1111 Reinmuthia,asc node,132.5205,english,"""incorrect"""
2001 Humanitarian Bowl,Year Game Played,2004,number,"""incorrect"""
2004 Purdue Boilermakers football team,rankyear,2004,number,"""incorrect"""
2004 Purdue Boilermakers football team,Date,10/16/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Date,9/25/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Time,60,second,"""incorrect"""
2004 Purdue Boilermakers football team,Time,120,second,"""incorrect"""
2004 Purdue Boilermakers football team,Time,210,second,"""incorrect"""
2004 Purdue Boilermakers football team,Date,11/9/2004,date,"""correct"""
2004 Purdue Boilermakers football team,Date,10/30/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Time,150,second,"""incorrect"""
2004 Purdue Boilermakers football team,Date,###############################################################################################################################################################################################################################################################,english,"""incorrect"""
2004 Purdue Boilermakers football team,Date,11/13/2004,date,"""correct"""
2004 Purdue Boilermakers football team,Date,2/10/2004,date,"""correct"""
2004 Purdue Boilermakers football team,Date,12/31/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Time,270,second,"""incorrect"""
2004 Purdue Boilermakers football team,Time,9,second,"""incorrect"""
2004 Purdue Boilermakers football team,Date,9/10/2004,date,"""correct"""
2004 Purdue Boilermakers football team,Time,720,second,"""incorrect"""
2004 Purdue Boilermakers football team,Time,33,second,"""incorrect"""
2004 Purdue Boilermakers football team,attend,0,english,"""incorrect"""
2004 Purdue Boilermakers football team,Date,10/23/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Date,11/20/2004,english,"""incorrect"""
2004 Purdue Boilermakers football team,Date,6/11/2004,date,"""correct"""
2004 Purdue Boilermakers football team,year,2004,number,"""incorrect"""
2005 Six Nations Championship,previous year,2004,number,"""incorrect"""
2005 Six Nations Championship,next year,6/28/2005,number,"""incorrect"""
7 Profitz,active years start year,2007-01-01T00:00:00+02:00,year,"""correct"""
A21 road (England),length (_),101389,number with decimals,"""incorrect"""
A21 road (England),country,GBR,english,"""correct"""
Aeon (eikaiwa),company name,________|,english,"""incorrect"""
Aeon (eikaiwa),name,________,english,"""incorrect"""
Ahmed Khaled Tawfik,Name,____ ____ _____,english,"""incorrect"""
Anthony Herbert (US soldier),serviceyears,1947,number,"""correct"""
Atamestane,O,2,number,"""correct"""
Athens Festival,years active,1955,number,"""incorrect"""
Awadh,image seal,___ ____.jpg,english,"""incorrect"""
Awadh,Name,Awadh ___,english,"""incorrect"""
Awadh,native name,____,english,"""incorrect"""
Awadh,name,___?,english,"""incorrect"""
Bad Day (R.E.M. song),released,10/3/2013,english,"""incorrect"""
Bad Day (R.E.M. song),Recorded,2003,number,"""incorrect"""
Bart Palaszewski,years active,2002,number,"""incorrect"""
Berzhahn,Bundesland,Rheinland-Pfalz,english,"""incorrect"""
Berzhahn,area code,2663,english,"""incorrect"""
Berzhahn,Adresse-Verband,56457,number,"""correct"""
Berzhahn,Adresse-Verband,Neumarkt 1,english,"""incorrect"""
Beyblade,ja romaji,Bakuten Sh_to Beibur_do,english,"""incorrect"""
Beyblade,last,2004,number,"""correct"""
Beyblade,jaKanji,______ _____?,english,"""incorrect"""
Blue Mountain Ski Area,liftsystem,3,second,"""incorrect"""
"Borrowdale, Harare",point,-17.759722222222223 31.08916666666666,english,"""incorrect"""
Brewster's Rooster,released,2009,number,"""incorrect"""
Cairo,native name,_______,english,"""incorrect"""
Cairo,name,_______,english,"""incorrect"""
Central Committee of the Communist Party of the Soviet Union,session room,Wiki Staraya Square 4 by Vladimir Sherwood Jr.jpg,english,"""correct"""
Central Committee of the Communist Party of the Soviet Union,text color,#F8B800,english,"""incorrect"""
Central Committee of the Communist Party of the Soviet Union,background color,#DC241,english,"""incorrect"""
Central Committee of the Communist Party of the Soviet Union,coa pic,____.svg,english,"""incorrect"""
Charles Boissevain,birth year,1842-01-01T00:00:00+02:00,year,"""correct"""
Claire McCaskill,years,2004,number,"""incorrect"""
Claire McCaskill,years,6,number,"""incorrect"""
Claire McCaskill,years,1999,number,"""incorrect"""
Claire McCaskill,start,1/4/2007,date,"""correct"""
Debrecen International Airport,website,www.airportdebrecen.hu,english,"""incorrect"""
Draco (programming language),year,1980,second,"""incorrect"""
Dragon,t,_,english,"""incorrect"""
Dragon,s,_,english,"""incorrect"""
Dream High,title,____ __?,english,"""incorrect"""
Dream High,title,__?,english,"""incorrect"""
Dream High,title,_ __ _?,english,"""incorrect"""
Dream High,title,___?,english,"""incorrect"""
Dream High,title,___?,english,"""incorrect"""
Dream High,title,____ ?,english,"""incorrect"""
Drone music,lang,fr,english,"""incorrect"""
Drone music,Template:Link-interwiki,e,english,"""correct"""
Dubai Press Club,formation,Nov-99,english,"""incorrect"""
Durango class patrol vessel,Ship beam,10.5m,english,"""incorrect"""
Durango class patrol vessel,Ship speed,20,number,"""correct"""
Durango class patrol vessel,Ship draft,3.90m,english,"""incorrect"""
Durango class patrol vessel,Ship displacement,1554,number,"""correct"""
Durango class patrol vessel,Ship range,6000,nanometre,"""correct"""
Durango class patrol vessel,ship length,81.7m,english,"""incorrect"""
Dynamo Blues F.C.,founded,1978,number,"""incorrect"""
Elin Pelin (town),area code,725,english,"""incorrect"""
Elin Pelin (town),native name,____ _____,english,"""incorrect"""
Elin Pelin (town),name,____ ____?,english,"""incorrect"""
