subject_label,predicat_label,object,first_answer,majority_voting
1111 Reinmuthia,abs magnitude,10,"""incorrect""","""incorrect"""
1111 Reinmuthia,arg peri,235,"""incorrect""","""incorrect"""
1111 Reinmuthia,asc node,133,"""incorrect""","""incorrect"""
1111 Reinmuthia,name,11,"""incorrect""","""incorrect"""
1111 Reinmuthia,Name,1111,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Course km,27,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Course mi,17,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Fast Time,10,"""incorrect""","""idk"""
1949 Ulster Grand Prix,Fast Time,12,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Next race in season,1949,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Next years race,1950,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Previous race in season,1949,"""incorrect""","""incorrect"""
1949 Ulster Grand Prix,Previous years race,1948,"""no sense""","""correct"""
2001 Humanitarian Bowl,Date Game Played,-19,"""correct""","""correct"""
2005 Six Nations Championship,Caption,-10,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,5,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,6,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,12,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,13,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,19,"""correct""","""incorrect"""
2005 Six Nations Championship,Date,26,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,27,"""incorrect""","""incorrect"""
2005 Six Nations Championship,Date,=--2-5',"""correct""","""incorrect"""
2005 Six Nations Championship,Name,2005,"""correct""","""incorrect"""
2005 Six Nations Championship,next tournament,2006,"""correct""","""correct"""
2005 Six Nations Championship,previous tournament,2004,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,attendance,n/a ,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,attendance,_,"""incorrect""","""incorrect"""
