,variable,accuracy,simulation
0,10,0.4166666666666667,0
1,11,0.46153846153846156,0
2,12,0.35714285714285715,0
3,13,0.4,0
4,15,0.17647058823529413,0
5,16,0.5,0
6,17,0.3684210526315789,0
7,19,0.19047619047619047,0
8,20,0.3181818181818182,0
9,21,0.30434782608695654,0
10,24,0.23076923076923078,0
11,25,0.4444444444444444,0
12,26,0.21428571428571427,0
13,28,0.3333333333333333,0
14,29,0.4838709677419355,0
15,30,0.3125,0
16,31,0.42424242424242425,0
17,32,0.29411764705882354,0
18,33,0.2571428571428571,0
19,34,0.3333333333333333,0
20,35,0.1891891891891892,0
21,36,0.2894736842105263,0
22,37,0.3333333333333333,0
23,38,0.325,0
24,39,0.24390243902439024,0
25,40,0.2619047619047619,0
26,41,0.32558139534883723,0
27,42,0.3181818181818182,0
28,43,0.4,0
29,44,0.34782608695652173,0
30,45,0.2765957446808511,0
31,46,0.16666666666666666,0
32,47,0.3469387755102041,0
33,48,0.34,0
34,49,0.29411764705882354,0
35,50,0.28846153846153844,0
36,51,0.33962264150943394,0
37,52,0.2222222222222222,0
38,53,0.36363636363636365,0
39,54,0.44642857142857145,0
40,55,0.3333333333333333,0
41,56,0.25862068965517243,0
42,58,0.2833333333333333,0
43,59,0.2459016393442623,0
44,60,0.3064516129032258,0
45,61,0.38095238095238093,0
46,62,0.390625,0
47,63,0.27692307692307694,0
48,64,0.36363636363636365,0
49,65,0.2835820895522388,0
50,67,0.2898550724637681,0
51,68,0.2571428571428571,0
52,69,0.29577464788732394,0
53,70,0.4027777777777778,0
54,71,0.3698630136986301,0
55,72,0.36486486486486486,0
56,73,0.14666666666666667,0
57,74,0.32894736842105265,0
58,75,0.22077922077922077,0
59,76,0.20512820512820512,0
60,77,0.21518987341772153,0
61,78,0.3625,0
62,79,0.30864197530864196,0
63,80,0.35365853658536583,0
64,81,0.27710843373493976,0
65,82,0.27380952380952384,0
66,83,0.2,0
67,84,0.3023255813953488,0
68,85,0.2413793103448276,0
69,86,0.3068181818181818,0
70,87,0.3146067415730337,0
71,88,0.3111111111111111,0
72,89,0.1978021978021978,0
73,90,0.30434782608695654,0
74,91,0.3225806451612903,0
75,92,0.3191489361702128,0
76,93,0.3684210526315789,0
77,94,0.23958333333333334,0
78,95,0.31958762886597936,0
79,96,0.3163265306122449,0
80,97,0.2222222222222222,0
81,98,0.28,0
82,15,0.35294117647058826,1
83,16,0.5,1
84,19,0.38095238095238093,1
85,20,0.3181818181818182,1
86,23,0.32,1
87,24,0.34615384615384615,1
88,25,0.25925925925925924,1
89,26,0.39285714285714285,1
90,27,0.2413793103448276,1
91,28,0.16666666666666666,1
92,29,0.2903225806451613,1
93,31,0.2727272727272727,1
94,32,0.38235294117647056,1
95,33,0.4,1
96,34,0.4166666666666667,1
97,35,0.32432432432432434,1
98,36,0.2631578947368421,1
99,37,0.41025641025641024,1
100,38,0.375,1
101,39,0.2682926829268293,1
102,40,0.2619047619047619,1
103,41,0.37209302325581395,1
104,42,0.2727272727272727,1
105,43,0.28888888888888886,1
106,44,0.3695652173913043,1
107,45,0.2553191489361702,1
108,46,0.2916666666666667,1
109,47,0.2857142857142857,1
110,48,0.24,1
111,49,0.29411764705882354,1
112,50,0.3076923076923077,1
113,51,0.32075471698113206,1
114,52,0.3333333333333333,1
115,53,0.3090909090909091,1
116,54,0.375,1
117,55,0.2807017543859649,1
118,56,0.27586206896551724,1
119,57,0.1864406779661017,1
120,58,0.25,1
121,59,0.29508196721311475,1
122,60,0.20967741935483872,1
