,variable,accuracy,simulation
0,18,0.28,0
1,19,0.31,0
2,20,0.39,0
3,23,0.27,0
4,24,0.26,0
5,25,0.22,0
6,26,0.28,0
7,27,0.24,0
8,28,0.31,0
9,29,0.37,0
10,30,0.28,0
11,31,0.32,0
12,32,0.2,0
13,33,0.33,0
14,34,0.25,0
15,35,0.31,0
16,36,0.18,0
17,37,0.28,0
18,38,0.3,0
19,39,0.33,0
20,40,0.23,0
21,41,0.32,0
22,42,0.29,0
23,43,0.26,0
24,44,0.33,0
25,45,0.22,0
26,46,0.28,0
27,47,0.32,0
28,48,0.33,0
29,49,0.25,0
30,50,0.33,0
31,51,0.3,0
32,52,0.31,0
33,53,0.25,0
34,54,0.3,0
35,55,0.36,0
36,56,0.36,0
37,57,0.31,0
38,58,0.4,0
39,59,0.21,0
40,60,0.19,0
41,61,0.29,0
42,62,0.22,0
43,63,0.29,0
44,64,0.22,0
45,65,0.24,0
46,66,0.26,0
47,67,0.27,0
48,68,0.2,0
49,69,0.31,0
50,70,0.17,0
51,71,0.3,0
52,72,0.33,0
53,73,0.25,0
54,74,0.28,0
55,75,0.32,0
56,76,0.28,0
57,77,0.28,0
58,78,0.29,0
59,79,0.31,0
60,80,0.31,0
61,81,0.32,0
62,82,0.33,0
63,83,0.13,0
64,84,0.3,0
65,85,0.3,0
66,86,0.32,0
67,87,0.4,0
68,88,0.25,0
69,89,0.23,0
70,90,0.29,0
71,91,0.34,0
72,92,0.28,0
73,93,0.18,0
74,94,0.27,0
75,95,0.3,0
76,96,0.23,0
77,97,0.27,0
78,98,0.19,0
79,19,0.28,1
80,20,0.27,1
81,22,0.25,1
82,23,0.32,1
83,24,0.32,1
84,25,0.33,1
85,26,0.4,1
86,27,0.29,1
87,28,0.28,1
88,29,0.31,1
89,30,0.31,1
90,31,0.24,1
91,32,0.27,1
92,33,0.44,1
93,34,0.25,1
94,35,0.2,1
95,36,0.28,1
96,37,0.32,1
97,38,0.19,1
98,39,0.22,1
99,40,0.31,1
100,41,0.31,1
101,42,0.23,1
102,43,0.3,1
103,44,0.15,1
104,45,0.3,1
105,46,0.32,1
106,47,0.29,1
107,48,0.29,1
108,49,0.31,1
109,50,0.26,1
110,51,0.31,1
111,52,0.36,1
112,53,0.24,1
113,54,0.39,1
114,55,0.36,1
115,56,0.18,1
116,57,0.36,1
117,58,0.24,1
118,59,0.28,1
119,60,0.37,1
120,61,0.28,1
121,62,0.3,1
122,63,0.35,1
123,64,0.33,1
124,65,0.28,1
125,66,0.3,1
126,67,0.4,1
127,68,0.25,1
128,69,0.37,1
129,70,0.32,1
130,71,0.31,1
131,72,0.43,1
132,73,0.26,1
133,74,0.32,1
134,75,0.22,1
135,76,0.34,1
136,77,0.36,1
137,78,0.31,1
138,79,0.32,1
139,80,0.36,1
140,81,0.25,1
141,82,0.31,1
142,83,0.25,1
143,84,0.35,1
144,85,0.33,1
145,86,0.19,1
146,87,0.31,1
147,88,0.35,1
148,89,0.24,1
149,90,0.3,1
150,91,0.35,1
151,92,0.28,1
152,93,0.42,1
153,94,0.31,1
154,95,0.38,1
155,96,0.21,1
156,97,0.3,1
157,98,0.2,1
158,16,0.26,2
159,18,0.28,2
160,20,0.34,2
161,22,0.32,2
162,23,0.24,2
163,24,0.25,2
164,25,0.27,2
165,26,0.28,2
166,27,0.32,2
167,28,0.36,2
168,29,0.33,2
169,30,0.32,2
170,31,0.37,2
171,32,0.3,2
172,33,0.27,2
173,34,0.31,2
174,35,0.26,2
175,36,0.24,2
176,37,0.28,2
177,38,0.3,2
178,39,0.11,2
179,40,0.16,2
180,41,0.27,2
181,42,0.32,2
182,43,0.27,2
183,44,0.29,2
184,45,0.27,2
185,46,0.37,2
186,47,0.31,2
187,48,0.33,2
188,49,0.18,2
189,50,0.3,2
190,51,0.3,2
191,52,0.33,2
192,53,0.34,2
193,54,0.29,2
194,55,0.34,2
195,56,0.27,2
196,57,0.33,2
197,58,0.29,2
198,59,0.23,2
199,60,0.34,2
200,61,0.17,2
201,62,0.19,2
202,63,0.21,2
203,64,0.16,2
204,65,0.28,2
205,66,0.17,2
206,67,0.38,2
207,68,0.31,2
208,69,0.36,2
209,70,0.34,2
210,71,0.26,2
211,72,0.26,2
212,73,0.17,2
213,74,0.29,2
214,75,0.32,2
215,76,0.34,2
216,77,0.37,2
217,78,0.34,2
218,79,0.32,2
219,80,0.29,2
220,81,0.32,2
221,82,0.23,2
222,83,0.34,2
223,84,0.28,2
224,85,0.31,2
225,86,0.28,2
226,87,0.24,2
227,88,0.3,2
228,89,0.23,2
229,90,0.21,2
230,91,0.36,2
231,92,0.26,2
232,93,0.26,2
233,94,0.33,2
234,95,0.26,2
235,96,0.21,2
236,97,0.29,2
237,98,0.34,2
238,17,0.25,3
239,18,0.24,3
240,20,0.33,3
241,21,0.3,3
242,22,0.32,3
243,23,0.23,3
244,24,0.28,3
245,25,0.38,3
246,26,0.32,3
247,27,0.31,3
248,28,0.28,3
249,29,0.32,3
250,30,0.35,3
251,31,0.27,3
252,32,0.23,3
253,33,0.27,3
254,34,0.32,3
255,35,0.17,3
256,36,0.27,3
257,37,0.19,3
258,38,0.29,3
259,39,0.25,3
260,40,0.29,3
261,41,0.28,3
262,42,0.24,3
263,43,0.3,3
264,44,0.23,3
265,45,0.27,3
266,46,0.27,3
267,47,0.33,3
268,48,0.23,3
269,49,0.31,3
270,50,0.29,3
271,51,0.18,3
272,52,0.28,3
273,53,0.27,3
274,54,0.31,3
275,55,0.26,3
276,56,0.25,3
277,57,0.24,3
278,58,0.33,3
279,59,0.36,3
280,60,0.26,3
281,61,0.26,3
282,62,0.29,3
283,63,0.23,3
284,64,0.24,3
285,65,0.26,3
286,66,0.26,3
287,67,0.37,3
288,68,0.37,3
289,69,0.21,3
290,70,0.39,3
291,71,0.24,3
292,72,0.24,3
293,73,0.31,3
294,74,0.28,3
295,75,0.32,3
296,76,0.31,3
297,77,0.29,3
298,78,0.21,3
299,79,0.28,3
300,80,0.21,3
301,81,0.16,3
302,82,0.36,3
303,83,0.37,3
304,84,0.25,3
305,85,0.24,3
306,86,0.31,3
307,87,0.27,3
308,88,0.3,3
309,89,0.29,3
310,90,0.16,3
311,91,0.37,3
312,92,0.38,3
313,93,0.33,3
314,94,0.24,3
315,95,0.35,3
316,96,0.37,3
317,97,0.28,3
318,98,0.33,3
319,16,0.4,4
320,18,0.28,4
321,19,0.36,4
322,22,0.28,4
323,24,0.28,4
324,25,0.24,4
325,26,0.21,4
326,27,0.18,4
327,28,0.25,4
328,29,0.38,4
329,30,0.19,4
330,31,0.3,4
331,32,0.3,4
332,33,0.32,4
333,34,0.26,4
334,35,0.23,4
335,36,0.36,4
336,37,0.16,4
337,38,0.32,4
338,39,0.33,4
339,40,0.21,4
340,41,0.31,4
341,42,0.27,4
342,43,0.36,4
343,44,0.39,4
344,45,0.23,4
345,46,0.19,4
346,47,0.3,4
347,48,0.34,4
348,49,0.32,4
349,50,0.33,4
350,51,0.25,4
351,52,0.26,4
352,53,0.16,4
353,54,0.32,4
354,55,0.4,4
355,56,0.31,4
356,57,0.27,4
357,58,0.33,4
358,59,0.15,4
359,60,0.24,4
360,61,0.29,4
361,62,0.27,4
362,63,0.29,4
363,64,0.3,4
364,65,0.18,4
365,66,0.34,4
366,67,0.27,4
367,68,0.34,4
368,69,0.31,4
369,70,0.3,4
370,71,0.31,4
371,72,0.28,4
372,73,0.41,4
373,74,0.14,4
374,75,0.17,4
375,76,0.26,4
376,77,0.15,4
377,78,0.28,4
378,79,0.39,4
379,80,0.24,4
380,81,0.25,4
381,82,0.39,4
382,83,0.4,4
383,84,0.3,4
384,85,0.32,4
385,86,0.31,4
386,87,0.3,4
387,88,0.19,4
388,89,0.3,4
389,90,0.32,4
390,91,0.18,4
391,92,0.2,4
392,93,0.23,4
393,94,0.32,4
394,95,0.37,4
395,96,0.26,4
396,97,0.21,4
397,98,0.27,4
398,20,0.31,5
399,21,0.22,5
400,22,0.29,5
401,23,0.32,5
402,24,0.24,5
403,25,0.15,5
404,26,0.35,5
405,27,0.27,5
406,28,0.32,5
407,29,0.35,5
408,30,0.34,5
409,31,0.31,5
410,32,0.24,5
411,33,0.29,5
412,34,0.22,5
413,35,0.29,5
414,36,0.43,5
415,37,0.31,5
416,38,0.34,5
417,39,0.32,5
418,40,0.24,5
419,41,0.22,5
420,42,0.3,5
421,43,0.17,5
422,44,0.31,5
423,45,0.33,5
424,46,0.24,5
425,47,0.31,5
426,48,0.35,5
427,49,0.25,5
428,50,0.24,5
429,51,0.23,5
430,52,0.29,5
431,53,0.29,5
432,54,0.32,5
433,55,0.23,5
434,56,0.23,5
435,57,0.29,5
436,58,0.3,5
437,59,0.31,5
438,60,0.23,5
439,61,0.18,5
440,62,0.32,5
441,63,0.27,5
442,64,0.36,5
443,65,0.28,5
444,66,0.28,5
445,67,0.4,5
446,68,0.26,5
447,69,0.23,5
448,70,0.27,5
449,71,0.23,5
450,72,0.26,5
451,73,0.32,5
452,74,0.29,5
453,75,0.34,5
454,76,0.27,5
455,77,0.29,5
456,78,0.38,5
457,79,0.29,5
458,80,0.25,5
459,81,0.29,5
460,82,0.36,5
461,83,0.37,5
462,84,0.35,5
463,85,0.13,5
464,86,0.33,5
465,87,0.32,5
466,88,0.27,5
467,89,0.29,5
468,90,0.32,5
469,91,0.21,5
470,92,0.35,5
471,93,0.27,5
472,94,0.34,5
473,95,0.3,5
474,96,0.28,5
475,97,0.38,5
476,98,0.29,5
477,17,0.25,6
478,20,0.3,6
479,21,0.33,6
480,22,0.31,6
481,23,0.3,6
482,24,0.29,6
483,25,0.24,6
484,26,0.3,6
485,27,0.26,6
486,28,0.21,6
487,29,0.33,6
488,30,0.32,6
489,31,0.39,6
490,32,0.27,6
491,33,0.34,6
492,34,0.28,6
493,35,0.25,6
494,36,0.37,6
495,37,0.32,6
496,38,0.17,6
497,39,0.27,6
498,40,0.32,6
499,41,0.22,6
500,42,0.35,6
501,43,0.42,6
502,44,0.35,6
503,45,0.32,6
504,46,0.27,6
505,47,0.27,6
506,48,0.29,6
507,49,0.35,6
508,50,0.3,6
509,51,0.32,6
510,52,0.31,6
511,53,0.42,6
512,54,0.17,6
513,55,0.19,6
514,56,0.29,6
515,57,0.26,6
516,58,0.31,6
517,59,0.31,6
518,60,0.32,6
519,61,0.32,6
520,62,0.2,6
521,63,0.28,6
522,64,0.27,6
523,65,0.17,6
524,66,0.23,6
525,67,0.29,6
526,68,0.3,6
527,69,0.18,6
528,70,0.29,6
529,71,0.2,6
530,72,0.29,6
531,73,0.17,6
532,74,0.32,6
533,75,0.22,6
534,76,0.31,6
535,77,0.4,6
536,78,0.36,6
537,79,0.24,6
538,80,0.2,6
539,81,0.22,6
540,82,0.36,6
541,83,0.32,6
542,84,0.3,6
543,85,0.26,6
544,86,0.3,6
545,87,0.35,6
546,88,0.42,6
547,89,0.26,6
548,90,0.31,6
549,91,0.32,6
550,92,0.26,6
551,93,0.37,6
552,94,0.24,6
553,95,0.32,6
554,96,0.24,6
555,97,0.32,6
556,98,0.33,6
557,18,0.24,7
558,20,0.17,7
559,21,0.37,7
560,22,0.29,7
561,23,0.25,7
562,24,0.34,7
563,25,0.24,7
564,26,0.34,7
565,27,0.34,7
566,28,0.28,7
567,29,0.24,7
568,30,0.3,7
569,31,0.27,7
570,32,0.26,7
571,33,0.37,7
572,34,0.34,7
573,35,0.3,7
574,36,0.41,7
575,37,0.32,7
576,38,0.14,7
577,39,0.34,7
578,40,0.34,7
579,41,0.21,7
580,42,0.31,7
581,43,0.15,7
582,44,0.28,7
583,45,0.26,7
584,46,0.26,7
585,47,0.24,7
586,48,0.21,7
587,49,0.31,7
588,50,0.33,7
589,51,0.3,7
590,52,0.26,7
591,53,0.27,7
592,54,0.27,7
593,55,0.32,7
