,variable,accuracy,simulation
0,0,0.27,0
1,1,0.3,0
2,2,0.29,0
3,3,0.2,0
4,4,0.24,0
5,5,0.24,0
6,6,0.23,0
7,0,0.29,1
8,1,0.36,1
9,2,0.31,1
10,3,0.41,1
11,4,0.26,1
12,5,0.33,1
13,6,0.27,1
14,0,0.37,2
15,1,0.38,2
16,2,0.4,2
17,3,0.2,2
18,4,0.19,2
19,5,0.3,2
20,7,0.32,2
21,0,0.33,3
22,1,0.39,3
23,2,0.28,3
24,3,0.19,3
25,4,0.29,3
26,5,0.31,3
27,6,0.38,3
28,0,0.27,4
29,1,0.39,4
30,2,0.28,4
31,3,0.3,4
32,4,0.17,4
33,5,0.33,4
34,6,0.35,4
35,7,0.29,4
36,0,0.36,5
37,1,0.24,5
38,2,0.36,5
39,3,0.31,5
40,4,0.27,5
41,5,0.35,5
42,6,0.24,5
43,0,0.33,6
44,1,0.22,6
45,2,0.23,6
46,3,0.35,6
47,4,0.31,6
48,5,0.31,6
49,6,0.32,6
50,0,0.32,7
51,1,0.32,7
52,2,0.22,7
53,3,0.39,7
54,4,0.23,7
55,5,0.23,7
56,6,0.3,7
57,0,0.28,8
58,1,0.34,8
59,2,0.25,8
60,3,0.23,8
61,4,0.31,8
62,5,0.34,8
63,6,0.19,8
64,7,0.27,8
65,0,0.35,9
66,1,0.4,9
67,2,0.24,9
68,3,0.22,9
69,4,0.33,9
70,5,0.32,9
71,6,0.47,9
72,7,0.25,9
