subject (label),predicate,object,gold_standard
Royal Penguin,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/034zxc,"""correct"""
Mike Small (golfer),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02x2wcl,"""correct"""
Prilep-Bitola dialect,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Macedonian_Slavic_dialects.png/200px-Macedonian_Slavic_dialects.png,"""correct"""
Ferrari Mythos,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.histomobile.com/1/Ferrari/1989/Mythos_.htm%3Flan%3D1,"""correct"""
Guy's Hospital,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02c3rj,"""correct"""
Soleidae,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Pegusa_lascaris.jpg/200px-Pegusa_lascaris.jpg,"""correct"""
Trip Lee,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/c/c7/TripLee.jpg,"""correct"""
Soleidae,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02fwxn,"""correct"""
Giuseppe Giulietti (trade unionist),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0803j8q,"""correct"""
Bart Palaszewski,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02pvlk8,"""correct"""
Forever Green,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.stirrupcup.co.uk,"""correct"""
Montlevon,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03m7nh2,"""correct"""
Ern Malley,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ern_Malley.jpg/200px-Ern_Malley.jpg,"""correct"""
The Emergency (Ireland),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02swfm,"""correct"""
Sondra Theodore,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AImdb_name,"""incorrect"""
Harrow School,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/f/f2/HarrowSchool-OldSchools-20051113.jpg,"""correct"""
Christine McCafferty,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0282s_,"""correct"""
Quebec City Armoury,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0407q_p,"""correct"""
La Puebla del Río,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02z7cb5,"""correct"""
2001 Humanitarian Bowl,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/046530z,"""correct"""
Hawaiian dollar,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_Currency,"""incorrect"""
Sondra Theodore,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_Playboy_Playmate,"""incorrect"""
Life. Be in it.,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.lifebeinit.org/index.php%3Furi%3Dmedia/2000.11.22,"""incorrect"""
Durango class patrol vessel,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/ARM_Durango.jpg/200px-ARM_Durango.jpg,"""correct"""
Ohio State Route 124,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0266513,"""correct"""
Matthew Crosby,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3APersondata,"""incorrect"""
Anand Sai,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0g83nt,"""correct"""
Trip Lee,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02rw29w,"""correct"""
Pavlovo-Posadsky District,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/3/36/Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg,"""correct"""
Daughter,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/029wnx,"""correct"""
Vincenzo Iaquinta,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/7/73/Vincenzo_Iaquinta.jpg,"""correct"""
Teo Chee Hean,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03z6ls,"""correct"""
Belgrade,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.zdravlje.org.rs/ekoatlas/01e.htm,"""correct"""
A21 road (England),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02dn5n,"""correct"""
Guy's Hospital,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Guys_hospital_tower.jpg/200px-Guys_hospital_tower.jpg,"""correct"""
Albertine Rift,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.worldwildlife.org/wildworld/profiles/terrestrial/at/at0101_full.html,"""incorrect"""
Botany Bay,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Sydney_SPOT_1210.jpg/200px-Sydney_SPOT_1210.jpg,"""correct"""
Life. Be in it.,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.lifebeinit.org,"""correct"""
Prilep-Bitola dialect,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/9/9c/Macedonian_Slavic_dialects.png,"""correct"""
Public transport in Debrecen,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.hajduvolan.hu/,"""correct"""
Durango class patrol vessel,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/9/97/ARM_Durango.jpg,"""correct"""
Sterling Ridge,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/3/37/AZMap-doton-Glendale.png,"""correct"""
Harrow School,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/HarrowSchool-OldSchools-20051113.jpg/200px-HarrowSchool-OldSchools-20051113.jpg,"""correct"""
Yamaha Virago,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/6/66/Yamaha_Virago_535_azure_blue.jpg,"""correct"""
John Two-Hawks,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.cedarlakedvd.com/,"""incorrect"""
Symmetry in biology,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04bg9x,"""correct"""
Awadh,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/022tm_,"""correct"""
Ganna Walska,http://dbpedia.org/ontology/wikiPageExternalLink,http://web.archive.org/web/20071022041130/http:/course1.winona.edu/pjohnson/h140/kane.htm,"""correct"""
This Is Not My Life,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0cnyt_z,"""correct"""
Accession of Croatia to the European Union,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/4/4c/European_Union_Croatia_Locator.svg,"""correct"""
Les Incompétents,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0bw79s,"""correct"""
Bad Day (R.E.M. song),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/09nlky,"""correct"""
Hadersdorf-Kammern,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/AUT_Hadersdorf-Kammern_COA.jpg/200px-AUT_Hadersdorf-Kammern_COA.jpg,"""correct"""
Sengge Rinchen,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Sengge_Rinchen.jpg/200px-Sengge_Rinchen.jpg,"""correct"""
Ern Malley,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/01xjcg,"""correct"""
Pavlovo-Posadsky District,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg/200px-Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg.png,"""correct"""
Lip sync,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/031b0m,"""correct"""
George Ferrers,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Magna_Carta.jpg/200px-Magna_Carta.jpg,"""correct"""
Antarctican dollar,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_Currency,"""incorrect"""
Robert Wangila,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/06sprg,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F%3F%3F%3F%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F%3F,"""correct"""
Hidden@205829,http://dbpedia.org/ontology/wikiPageExternalLink,http://special.lib.umn.edu/findaid/xml/mss044.xml,"""incorrect"""
Vailly-sur-Aisne,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03m7qxt,"""correct"""
MTV Base,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.itizaps.net/zapper-mtv-base-france.php,"""correct"""
Kshitij,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0gw0z0,"""correct"""
Man Therapy,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/d/d4/ManTherapyPSAsmall.png,"""correct"""
Ababu Namwamba,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/047m2my,"""correct"""
Ramesh Bais,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0g2m7k,"""correct"""
Northanger Abbey,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0bdfv,"""correct"""
NEMA connector,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0ds47w,"""correct"""
Ern Malley,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/1/1f/Ern_Malley.jpg,"""correct"""
Fort Saskatchewan,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/f/fc/Fort_saskatchewan_city_hall.jpg,"""correct"""
Lip sync,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/2/2b/Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg,"""correct"""
Northanger Abbey,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/6/68/NorthangerPersuasionTitlePage.jpg,"""correct"""
Northanger Abbey,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.adamsmithacademy.org/etext/Jane_Austen/Northanger_Abbey_Chp_1.html/,"""incorrect"""
Barbara Erskine,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.highbeam.com/doc/1P1-45135789.html,"""incorrect"""
Arriva London,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/06txkw,"""correct"""
Sengge Rinchen,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/7/77/Sengge_Rinchen.jpg,"""correct"""
Lip sync,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg/200px-Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg,"""correct"""
Information graphics,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Wash-dc-metro-map.png/200px-Wash-dc-metro-map.png,"""correct"""
Newmarket Town F.C.,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/09yyx8,"""correct"""
John Garth,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0411lq4,"""correct"""
Bures St. Mary,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Bures_St_Mary_-_Chapel_of_St_Stephen.jpg/200px-Bures_St_Mary_-_Chapel_of_St_Stephen.jpg,"""correct"""
Faten Hamama,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/05757k,"""correct"""
Trophic state index,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Lake_George_from_village_beach.jpg/200px-Lake_George_from_village_beach.jpg,"""correct"""
Gary Sanchez Productions,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0gnw24,"""correct"""
Fluid Concepts and Creative Analogies,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03cwj58,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F,"""correct"""
Hadersdorf-Kammern,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02qxcmy,"""correct"""
Cognomen,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/01k1z_,"""correct"""
Albertine Rift,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/GahingaMuhabura.png/200px-GahingaMuhabura.png,"""correct"""
Beyblade,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03hsp2,"""correct"""
Salasco,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0g8r69,"""correct"""
Sterling Ridge,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AZMap-doton-Glendale.png/200px-AZMap-doton-Glendale.png,"""correct"""
Rock-paper-scissors,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.usarps.com/,"""correct"""
Sadar North Baptist Association,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0fmq_w,"""correct"""
Mount Athos,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/014wrg,"""correct"""
"Goble, Oregon",http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/1/17/Goble_Oregon_train_sign.jpg,"""correct"""
Ern Malley,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.bmlisieux.com/archives/deliqu01.htm,"""correct"""
Prilep-Bitola dialect,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0412kt7,"""correct"""
Newmarket Town F.C.,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/8/8d/NewmarketTown.jpg,"""correct"""
Ludwig zu Sayn-Wittgenstein-Berleburg,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04v6h8,"""correct"""
Gundam Mk-II,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.isuzu.co.jp/museum/conhis/vx2.html,"""correct"""
