subject_label,predicate,object,first_answer,majority_voting
'(6046) 1991 RF14','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0by01ry',"""no sense""","""correct"""
'2001 Humanitarian Bowl','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/046530z',"""correct""","""correct"""
'593rd Sustainment Brigade (United States)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03gvb39',"""no sense""","""correct"""
'A++','http://dbpedia.org/ontology/influencedBy','http://dbpedia.org/resource/Ramy_Haddad',"""incorrect""","""incorrect"""
'A21 road (England)','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.cbrd.co.uk/badjunctions/21-25-26.shtml',"""incorrect""","""incorrect"""
'A21 road (England)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02dn5n',"""correct""","""correct"""
'Ababu Namwamba','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/047m2my',"""no sense""","""correct"""
'Accession of Croatia to the European Union','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/4/4c/European_Union_Croatia_Locator.svg',"""correct""","""correct"""
'Albertine Rift','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/GahingaMuhabura.png/200px-GahingaMuhabura.png',"""correct""","""correct"""
'Albertine Rift','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.worldwildlife.org/wildworld/profiles/terrestrial/at/at0101_full.html',"""incorrect""","""incorrect"""
'Alcamenes','http://dbpedia.org/ontology/wikiPageExternalLink','http://cartelen.louvre.fr/cartelen/visite%3Fsrv%3Dcar_not_frame%26idNotice%3D20221',"""no sense""","""incorrect"""
'Alcamenes','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0r4g',"""no sense""","""correct"""
'Anand Sai','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0g83nt',"""correct""","""correct"""
'Antarctican dollar','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_Currency',"""incorrect""","""incorrect"""
'Arriva London','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/London_Bus_route_59_01.jpg/200px-London_Bus_route_59_01.jpg',"""correct""","""correct"""
'Arriva London','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.arrivalondon.com/',"""correct""","""correct"""
'Arriva London','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/06txkw',"""no sense""","""correct"""
'Arriva London','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/3/3f/London_Bus_route_59_01.jpg',"""correct""","""correct"""
'Articles for deletion/Jose Vides','http://dbpedia.org/ontology/wikiPageExternalLink','http://toolserver.org/%7Esnottywong/cgi-bin/votecounter.cgi%3Fpage%3DWikipedia%3AArticles_for_deletion/Jose_Vides',"""no sense""","""incorrect"""
'Awadh','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/022tm_',"""correct""","""correct"""
'Awadh','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/5/5c/Lalbagh_gate_faizabad_c.1801.jpg',"""correct""","""correct"""
'Bad Day (R.E.M. song)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/09nlky',"""no sense""","""correct"""
'Balabusta','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03d6zc9',"""no sense""","""correct"""
'Balance spring','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0803v_',"""no sense""","""correct"""
'Barbara Erskine','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.highbeam.com/doc/1P1-45135789.html',"""incorrect""","""incorrect"""
'Bart Palaszewski','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/WEC_53_BARTIMUS.jpg/200px-WEC_53_BARTIMUS.jpg',"""correct""","""correct"""
'Bart Palaszewski','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02pvlk8',"""no sense""","""correct"""
'Bart Palaszewski','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/7/79/WEC_53_BARTIMUS.jpg',"""correct""","""correct"""
'Belgrade','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.zdravlje.org.rs/ekoatlas/01e.htm',"""correct""","""correct"""
'Beyblade','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03hsp2',"""no sense""","""correct"""
'Bic Cristal','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.bicworld.com/index_en.asp',"""incorrect""","""incorrect"""
'Billy Keikeya','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0bkp9_',"""correct""","""correct"""
'Botany Bay','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Sydney_SPOT_1210.jpg/200px-Sydney_SPOT_1210.jpg',"""correct""","""correct"""
'Botany Bay','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/07hyq_',"""no sense""","""correct"""
'Botany Bay','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/c/c6/Sydney_SPOT_1210.jpg',"""correct""","""correct"""
'Bures St. Mary','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Bures_St_Mary_-_Chapel_of_St_Stephen.jpg/200px-Bures_St_Mary_-_Chapel_of_St_Stephen.jpg',"""correct""","""correct"""
'Bures St. Mary','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/095gby',"""correct""","""correct"""
'Charles Boissevain','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/CharlesBoissevain.jpg/200px-CharlesBoissevain.jpg',"""correct""","""correct"""
'Charles Boissevain','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/09v2f3f',"""correct""","""correct"""
'Christine McCafferty','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.chrismccaffertymp.org.uk',"""no sense""","""correct"""
'Christine McCafferty','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0282s_',"""correct""","""incorrect"""
'Cognomen','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/01k1z_',"""correct""","""correct"""
'Daughter','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Doddy4GenerationsAug1931A.jpg/200px-Doddy4GenerationsAug1931A.jpg',"""correct""","""correct"""
'Daughter','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/029wnx',"""correct""","""correct"""
'Daughter','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/5/5a/Doddy4GenerationsAug1931A.jpg',"""correct""","""correct"""
'Drone music','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/052smk',"""correct""","""correct"""
'Durango class patrol vessel','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/ARM_Durango.jpg/200px-ARM_Durango.jpg',"""correct""","""correct"""
'Durango class patrol vessel','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02wbt4g',"""correct""","""correct"""
'Durango class patrol vessel','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/9/97/ARM_Durango.jpg',"""correct""","""correct"""
'Elatostema rugosum','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Elatostema_rugosum_11.JPG/200px-Elatostema_rugosum_11.JPG',"""incorrect""","""correct"""
'Eric Weiss','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.allalias.com/guide/index.php/Weiss%2527s_Detailed_Mission_Information',"""incorrect""","""incorrect"""
'Ern Malley','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ern_Malley.jpg/200px-Ern_Malley.jpg',"""correct""","""correct"""
'Ern Malley','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.bmlisieux.com/archives/deliqu01.htm',"""incorrect""","""no sense"""
'Ern Malley','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/01xjcg',"""no sense""","""correct"""
'Ern Malley','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/1/1f/Ern_Malley.jpg',"""correct""","""correct"""
'Far North Line','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/05rx49',"""correct""","""correct"""
'Far North Line','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/9/9c/The_Main_Line_-_geograph.org.uk_-_963903.jpg',"""incorrect""","""incorrect"""
'Faten Hamama','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/05757k',"""correct""","""correct"""
'Ferrari Mythos','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.histomobile.com/1/Ferrari/1989/Mythos_.htm%3Flan%3D1',"""correct""","""incorrect"""
'Fluid Concepts and Creative Analogies','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03cwj58',"""no sense""","""correct"""
'Forever Green','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.stirrupcup.co.uk',"""incorrect""","""incorrect"""
'Fort Saskatchewan','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02w532',"""no sense""","""correct"""
'Fort Saskatchewan','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/f/fc/Fort_saskatchewan_city_hall.jpg',"""correct""","""correct"""
'Frank Stanford','http://dbpedia.org/ontology/wikiPageExternalLink','http://lostroadspublishers.org/',"""no sense""","""incorrect"""
'Frank Stanford','http://dbpedia.org/ontology/wikiPageExternalLink','http://nw-ar.com/drakefield/',"""incorrect""","""incorrect"""
'Fuentespalda','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Escut_de_Fontdespatla.svg/200px-Escut_de_Fontdespatla.svg.png',"""correct""","""correct"""
'Fuentespalda','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02z9qxc',"""correct""","""correct"""
'Fuentespalda','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/c/cd/Escut_de_Fontdespatla.svg',"""no sense""","""correct"""
'Ganna Walska','http://dbpedia.org/ontology/wikiPageExternalLink','http://web.archive.org/web/20071022041130/http:/course1.winona.edu/pjohnson/h140/kane.htm',"""incorrect""","""incorrect"""
'Gareth Emery','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/069zyg',"""correct""","""correct"""
'Garuda Indonesia Flight 421','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04lgyr7',"""correct""","""correct"""
'Gary Sanchez Productions','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0gnw24',"""no sense""","""correct"""
'George Ferrers','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Magna_Carta.jpg/200px-Magna_Carta.jpg',"""correct""","""correct"""
'George Ferrers','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0gz2_c',"""correct""","""correct"""
