,workers,accuracy,simulation
0,17,0.22,0
1,19,0.26,0
2,20,0.32,0
3,21,0.26,0
4,22,0.22,0
5,23,0.26,0
6,24,0.37,0
7,25,0.27,0
8,26,0.25,0
9,27,0.29,0
10,28,0.27,0
11,29,0.33,0
12,30,0.36,0
13,31,0.19,0
14,32,0.3,0
15,33,0.25,0
16,34,0.2,0
17,35,0.2,0
18,36,0.26,0
19,37,0.19,0
20,38,0.27,0
21,39,0.32,0
22,40,0.22,0
23,41,0.22,0
24,42,0.2,0
25,43,0.28,0
26,44,0.24,0
27,45,0.19,0
28,46,0.16,0
29,47,0.25,0
30,48,0.21,0
31,49,0.34,0
32,50,0.29,0
33,51,0.26,0
34,52,0.14,0
35,53,0.24,0
36,54,0.22,0
37,55,0.26,0
38,56,0.31,0
39,57,0.34,0
40,58,0.28,0
41,59,0.35,0
42,60,0.22,0
43,61,0.3,0
44,62,0.33,0
45,63,0.16,0
46,64,0.24,0
47,65,0.34,0
48,66,0.22,0
49,67,0.24,0
50,68,0.21,0
51,69,0.34,0
52,70,0.24,0
53,71,0.29,0
54,72,0.3,0
55,73,0.34,0
56,74,0.33,0
57,75,0.24,0
58,76,0.23,0
59,77,0.27,0
60,78,0.2,0
61,79,0.36,0
62,80,0.17,0
63,81,0.23,0
64,82,0.31,0
65,83,0.33,0
66,84,0.37,0
67,85,0.22,0
68,86,0.28,0
69,87,0.33,0
70,88,0.23,0
71,89,0.2,0
72,90,0.27,0
73,91,0.31,0
74,92,0.34,0
75,93,0.22,0
76,94,0.23,0
77,95,0.26,0
78,96,0.31,0
79,97,0.31,0
80,98,0.18,0
81,99,0.34,0
82,19,0.26,1
83,20,0.22,1
84,21,0.22,1
85,22,0.23,1
86,23,0.25,1
87,24,0.34,1
88,25,0.28,1
89,26,0.2,1
90,27,0.19,1
91,28,0.17,1
92,29,0.32,1
93,30,0.34,1
94,31,0.29,1
95,32,0.2,1
96,33,0.26,1
97,34,0.25,1
98,35,0.18,1
99,36,0.3,1
100,37,0.25,1
101,38,0.22,1
102,39,0.23,1
103,40,0.33,1
104,41,0.22,1
105,42,0.34,1
106,43,0.24,1
107,44,0.2,1
108,45,0.3,1
109,46,0.29,1
110,47,0.25,1
111,48,0.35,1
112,49,0.29,1
113,50,0.27,1
114,51,0.18,1
115,52,0.21,1
