,variable,accuracy,simulation
0,1,0.21,0
1,2,0.22,0
2,3,0.3,0
3,4,0.26,0
4,5,0.23,0
5,6,0.21,0
6,7,0.27,0
7,8,0.24,0
8,9,0.19,0
9,10,0.26,0
10,11,0.29,0
11,12,0.26,0
12,13,0.23,0
13,14,0.23,0
14,15,0.27,0
15,16,0.27,0
16,17,0.17,0
17,18,0.23,0
18,19,0.28,0
19,20,0.29,0
20,21,0.34,0
21,22,0.17,0
22,23,0.36,0
23,24,0.29,0
24,25,0.3,0
25,26,0.21,0
26,27,0.3,0
27,28,0.26,0
28,29,0.27,0
29,30,0.34,0
30,31,0.34,0
31,32,0.28,0
32,33,0.31,0
33,34,0.29,0
34,35,0.28,0
35,36,0.32,0
36,37,0.26,0
37,38,0.3,0
38,39,0.27,0
39,40,0.2,0
40,41,0.23,0
41,42,0.27,0
42,43,0.33,0
43,44,0.32,0
44,45,0.33,0
45,46,0.27,0
46,47,0.32,0
47,48,0.35,0
48,49,0.33,0
49,50,0.35,0
50,51,0.22,0
51,52,0.29,0
52,53,0.25,0
53,54,0.36,0
54,55,0.35,0
55,56,0.24,0
56,57,0.2,0
57,58,0.33,0
58,59,0.27,0
59,60,0.27,0
60,61,0.35,0
61,62,0.36,0
62,63,0.36,0
63,64,0.39,0
64,65,0.29,0
65,66,0.32,0
66,67,0.37,0
67,68,0.14,0
68,69,0.39,0
69,70,0.33,0
70,71,0.2,0
71,72,0.07,0
72,73,0.33,0
73,74,0.31,0
74,75,0.34,0
75,76,0.38,0
76,77,0.35,0
77,78,0.32,0
78,79,0.37,0
79,80,0.21,0
80,81,0.26,0
81,82,0.25,0
82,83,0.35,0
83,84,0.27,0
84,85,0.41,0
85,86,0.18,0
86,87,0.39,0
87,88,0.36,0
88,89,0.23,0
89,90,0.44,0
90,0,0.22,1
91,1,0.28,1
92,2,0.22,1
93,3,0.27,1
94,5,0.21,1
95,6,0.24,1
96,7,0.21,1
97,8,0.24,1
98,10,0.14,1
99,11,0.2,1
